county_fips,state_po,x,n,y,population_group
12001,FL,2011,161152,-933,large
12003,FL,2011,18751,-20,small
12005,FL,2011,126465,138,large
12007,FL,2011,16743,-73,small
12009,FL,2011,417351,2125,large
12011,FL,2011,1362374,3588,enormous
12013,FL,2011,8462,7,tiny
12015,FL,2011,109923,845,large
12017,FL,2011,97637,159,medium
12019,FL,2011,151760,491,large
12021,FL,2011,255711,839,large
12023,FL,2011,44229,58,small
12027,FL,2011,20390,-2,small
12029,FL,2011,8633,-21,tiny
12031,FL,2011,670045,20,very large
12033,FL,2011,215447,-243,large
12035,FL,2011,72098,615,medium
12037,FL,2011,6914,-25,tiny
12039,FL,2011,34477,-94,small
12041,FL,2011,10999,30,small
12043,FL,2011,5401,253,tiny
12045,FL,2011,8823,-44,tiny
12047,FL,2011,8099,-28,tiny
12049,FL,2011,19193,-154,small
12051,FL,2011,26570,-153,small
12053,FL,2011,120506,438,large
12055,FL,2011,65678,20,medium
12057,FL,2011,958329,-6853,very large
12059,FL,2011,11900,8,small
12061,FL,2011,107297,673,large
12063,FL,2011,31754,-24,small
12065,FL,2011,9716,-35,tiny
12067,FL,2011,4295,64,tiny
12069,FL,2011,226522,1578,large
12071,FL,2011,462902,4442,large
12073,FL,2011,182589,-471,large
12075,FL,2011,27433,38,small
12077,FL,2011,4783,11,tiny
12079,FL,2011,12508,-6,small
12081,FL,2011,243713,2431,large
12083,FL,2011,242007,1199,large
12085,FL,2011,108190,815,large
12086,FL,2011,1935579,-18214,enormous
12087,FL,2011,56235,47,medium
12089,FL,2011,59325,177,medium
12091,FL,2011,145879,683,large
12093,FL,2011,25888,-56,small
12095,FL,2011,877674,3964,very large
12097,FL,2011,208744,2562,large
12099,FL,2011,1008626,6152,enormous
12101,FL,2011,330959,2210,large
12103,FL,2011,669571,2438,very large
12105,FL,2011,449724,1008,large
12107,FL,2011,48044,-5,small
12109,FL,2011,155661,2147,large
12111,FL,2011,206346,1106,large
12113,FL,2011,115617,319,large
12115,FL,2011,285928,2304,large
12117,FL,2011,325462,1077,large
12119,FL,2011,64247,1359,medium
12121,FL,2011,27614,-14,small
12123,FL,2011,14193,-25,small
12125,FL,2011,8073,16,tiny
12127,FL,2011,359252,1260,large
12129,FL,2011,21224,163,small
12131,FL,2011,39023,335,small
12133,FL,2011,15399,-28,small
13001,GA,2011,13147,33,small
13003,GA,2011,6206,4,tiny
13005,GA,2011,7828,-11,tiny
13007,GA,2011,2305,7,tiny
13009,GA,2011,28703,-71,small
13011,GA,2011,12528,-28,small
13013,GA,2011,53440,369,medium
13015,GA,2011,77892,79,medium
13017,GA,2011,12531,-30,small
13019,GA,2011,12012,12,small
13021,GA,2011,115165,-548,large
13023,GA,2011,8936,4,tiny
13025,GA,2011,11890,19,small
13027,GA,2011,10826,51,small
13029,GA,2011,26726,228,small
13031,GA,2011,42066,-195,small
13033,GA,2011,17904,-183,small
13035,GA,2011,15917,-6,small
13037,GA,2011,3700,-31,tiny
13039,GA,2011,36561,-44,small
13043,GA,2011,7715,16,tiny
13045,GA,2011,85064,-264,medium
13047,GA,2011,46078,62,small
13049,GA,2011,6475,3,tiny
13051,GA,2011,194700,-185,large
13053,GA,2011,5001,-315,tiny
