Team,season_year,Team Revenue,Ticket Price,Operating Income,franchise_id
Atlanta Hawks,2011,109.0,26.3,-15.0,1
Boston Celtics,2011,146.0,52.7,8.0,2
Brooklyn Nets,2011,89.0,23.3,-24.0,19
Charlotte Hornets,2011,101.0,19.5,-26.0,4
Chicago Bulls,2011,185.0,59.0,59.0,5
Cleveland Cavaliers,2011,149.0,42.9,33.0,6
Dallas Mavericks,2011,166.0,42.9,-4.0,7
Denver Nuggets,2011,113.0,32.6,-1.0,8
Detroit Pistons,2011,141.0,28.0,10.0,9
Golden State Warriors,2011,139.0,26.1,22.0,10
Houston Rockets,2011,150.0,33.2,18.0,11
Indiana Pacers,2011,101.0,17.2,-11.0,12
Los Angeles Clippers,2011,108.0,36.4,9.0,13
Los Angeles Lakers,2011,208.0,89.6,24.0,14
Memphis Grizzlies,2011,99.0,15.0,-25.0,15
Miami Heat,2011,158.0,48.7,26.0,16
Milwaukee Bucks,2011,92.0,26.5,-8.0,17
Minnesota Timberwolves,2011,97.0,20.0,-7.0,18
New Orleans Pelicans,2011,109.0,20.5,-3.0,4
New York Knicks,2011,244.0,72.8,75.0,20
Oklahoma City Thunder,2011,126.0,37.2,25.0,21
Orlando Magic,2011,140.0,42.8,-16.0,22
Philadelphia 76ers,2011,116.0,24.8,-10.0,23
Phoenix Suns,2011,136.0,46.8,13.0,24
Portland Trail Blazers,2011,132.0,45.4,-8.0,25
Sacramento Kings,2011,104.0,29.6,6.0,26
San Antonio Spurs,2011,139.0,39.8,14.0,27
Toronto Raptors,2011,134.0,42.1,7.0,28
Utah Jazz,2011,120.0,32.8,-16.0,29
Washington Wizards,2011,109.0,23.4,-3.0,30
Atlanta Hawks,2012,99.0,20.1,-19.0,1
Boston Celtics,2012,143.0,42.4,19.0,2
Brooklyn Nets,2012,84.0,17.1,-17.0,19
Charlotte Hornets,2012,93.0,14.1,-13.0,4
Chicago Bulls,2012,162.0,49.7,34.0,5
Cleveland Cavaliers,2012,128.0,25.8,19.0,6
Dallas Mavericks,2012,137.0,32.9,13.0,7
