Team,Win,Loss,Apps,Pct,Year(s) won,Year(s) lost
Boston Celtics,18,5,23,.783,"1957, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1968, 1969, 1974, 1976, 1981, 1984, 1986, 2008, 2024","1958, 1985, 1987, 2010, 2022"
Los Angeles Lakers[i],17,15,32,.531,"1949, 1950, 1952, 1953, 1954, 1972, 1980, 1982, 1985, 1987, 1988, 2000, 2001, 2002, 2009, 2010, 2020","1959, 1962, 1963, 1965, 1966, 1968, 1969, 1970, 1973, 1983, 1984, 1989, 1991, 2004, 2008"
Golden State Warriors[ii],7,5,12,.583,"1947, 1956, 1975, 2015, 2017, 2018, 2022","1948, 1964, 1967, 2016, 2019"
Chicago Bulls,6,0,6,1.000,"1991, 1992, 1993, 1996, 1997, 1998",—
San Antonio Spurs,5,1,6,.833,"1999, 2003, 2005, 2007, 2014",2013
Philadelphia 76ers[iii],3,6,9,.333,"1955, 1967, 1983","1950, 1954, 1977, 1980, 1982, 2001"
Detroit Pistons[iv],3,4,7,.429,"1989, 1990, 2004","1955, 1956, 1988, 2005"
Miami Heat,3,4,7,.429,"2006, 2012, 2013","2011, 2014, 2020, 2023"
New York Knicks,2,6,8,.250,"1970, 1973","1951, 1952, 1953, 1972, 1994, 1999"
Houston Rockets,2,2,4,.500,"1994, 1995","1981, 1986"
Milwaukee Bucks,2,1,3,.667,"1971, 2021",1974
Cleveland Cavaliers,1,4,5,.200,2016,"2007, 2015, 2017, 2018"
Atlanta Hawks[v],1,3,4,.250,1958,"1957, 1960, 1961"
Washington Wizards[vi],1,3,4,.250,1978,"1971, 1975, 1979"
Oklahoma City Thunder[vii],1,3,4,.250,1979,"1978, 1996, 2012"
Portland Trail Blazers,1,2,3,.333,1977,"1990, 1992"
Dallas Mavericks,1,2,3,.333,2011,"2006, 2024"
Baltimore Bullets (original) (folded in 1954)[viii],1,0,1,1.000,1948,—
Sacramento Kings[ix],1,0,1,1.000,1951,—
Toronto Raptors,1,0,1,1.000,2019,—
Denver Nuggets,1,0,1,1.000,2023,—
Phoenix Suns,0,3,3,.000,—,"1976, 1993, 2021"
Utah Jazz,0,2,2,.000,—,"1997, 1998"
Brooklyn Nets[x],0,2,2,.000,—,"2002, 2003"
Orlando Magic,0,2,2,.000,—,"1995, 2009"
Chicago Stags (folded in 1950),0,1,1,.000,—,1947
Washington Capitols (folded in 1951),0,1,1,.000,—,1949
Indiana Pacers,0,1,1,.000,—,2000
Charlotte Hornets,—,—,—,—,—,—
Los Angeles Clippers,—,—,—,—,—,—
Memphis Grizzlies,—,—,—,—,—,—
Minnesota Timberwolves,—,—,—,—,—,—
New Orleans Pelicans,—,—,—,—,—,—
