franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg
1,2005,41,9,586390,14302.19512195122,41,4,685963,16730.80487804878,82,13,0.15853658536585366,1272353,15516.5
1,2006,41,18,617817,15068.707317073171,41,8,699761,17067.341463414636,82,26,0.3170731707317073,1317578,16068.024390243903
1,2007,41,18,639375,15594.512195121952,41,12,703992,17170.536585365855,82,30,0.36585365853658536,1343367,16382.524390243903
1,2008,41,25,667518,16280.926829268292,41,12,690997,16853.585365853658,82,37,0.45121951219512196,1358515,16567.256097560974
1,2009,41,31,686688,16748.48780487805,41,16,709432,17303.219512195123,82,47,0.573170731707317,1396120,17025.853658536584
1,2010,41,34,678375,16545.731707317074,41,19,700983,17097.146341463416,82,53,0.6463414634146342,1379358,16821.439024390245
1,2011,41,24,641596,15648.682926829268,41,20,695258,16957.51219512195,82,44,0.5365853658536586,1336854,16303.09756097561
1,2012,33,23,501593,15199.787878787878,33,17,555071,16820.333333333332,66,40,0.6060606060606061,1056664,16010.060606060606
1,2013,41,25,620146,15125.512195121952,41,19,703804,17165.951219512193,82,44,0.5365853658536586,1323950,16145.731707317073
1,2014,41,24,587927,14339.682926829268,41,14,708251,17274.414634146342,82,38,0.4634146341463415,1296178,15807.048780487805
1,2015,41,35,713909,17412.414634146342,41,25,720873,17582.268292682926,82,60,0.7317073170731707,1434782,17497.341463414636
1,2016,41,27,690150,16832.926829268294,41,21,722066,17611.365853658535,82,48,0.5853658536585366,1412216,17222.146341463416
1,2017,41,23,654306,15958.682926829268,41,20,730479,17816.560975609755,82,43,0.524390243902439,1384785,16887.621951219513
1,2018,41,16,590769,14409.0,41,8,729839,17800.951219512193,82,24,0.2926829268292683,1320608,16104.975609756097
1,2019,41,17,628440,15327.80487804878,41,12,729237,17786.268292682926,82,29,0.35365853658536583,1357677,16557.036585365855
1,2020,34,14,545453,16042.735294117647,33,6,586966,17786.848484848484,67,20,0.29850746268656714,1132419,16901.776119402984
1,2021,36,25,59288,2195.8518518518517,36,16,37074,2851.846153846154,72,41,0.5694444444444444,96362,1338.361111111111
1,2022,41,27,673742,16432.731707317074,41,16,682933,17073.325,82,43,0.524390243902439,1356675,16544.817073170732
1,2023,41,24,719787,17555.780487804877,41,17,740177,18053.09756097561,82,41,0.5,1459964,17804.439024390245
1,2024,39,21,662189,16979.20512820513,39,14,718687,18427.871794871793,78,35,0.44871794871794873,1380876,17703.53846153846
2,2005,41,27,656081,16001.975609756097,41,18,705864,17216.19512195122,82,45,0.5487804878048781,1361945,16609.085365853658
2,2006,41,21,692873,16899.341463414636,41,12,734725,17920.121951219513,82,33,0.4024390243902439,1427598,17409.731707317074
2,2007,41,12,690576,16843.317073170732,41,12,720385,17570.365853658535,82,24,0.2926829268292683,1410961,17206.841463414636
2,2008,41,35,763584,18624.0,41,31,780728,19042.146341463416,82,66,0.8048780487804879,1544312,18833.073170731706
2,2009,41,35,763584,18624.0,41,27,777995,18975.48780487805,82,62,0.7560975609756098,1541579,18799.743902439026
2,2010,41,24,763584,18624.0,41,26,744318,18154.09756097561,82,50,0.6097560975609756,1507902,18389.048780487807
2,2011,41,33,763584,18624.0,41,23,777555,18964.756097560974,82,56,0.6829268292682927,1541139,18794.378048780487
2,2012,33,24,614592,18624.0,33,15,603533,18288.878787878788,66,39,0.5909090909090909,1218125,18456.439393939392
2,2013,40,27,744960,18624.0,41,14,728521,17768.80487804878,81,41,0.5061728395061729,1473481,18191.123456790123
2,2014,41,16,742400,18107.317073170732,41,9,717276,17494.536585365855,82,25,0.3048780487804878,1459676,17800.926829268294
2,2015,41,21,721350,17593.90243902439,41,19,727404,17741.560975609755,82,40,0.4878048780487805,1448754,17667.731707317074
2,2016,41,28,749076,18270.146341463416,41,20,715023,17439.585365853658,82,48,0.5853658536585366,1464099,17854.865853658535
2,2017,41,30,760690,18553.414634146342,41,23,750843,18313.243902439026,82,53,0.6463414634146342,1511533,18433.329268292684
2,2018,41,27,763584,18624.0,41,28,761262,18567.365853658535,82,55,0.6707317073170732,1524846,18595.682926829268
2,2019,41,28,763584,18624.0,41,21,765533,18671.536585365855,82,49,0.5975609756097561,1529117,18647.768292682926
2,2020,36,26,610864,19089.5,36,22,589088,18409.0,72,48,0.6666666666666666,1199952,16666.0
2,2021,36,21,30067,2505.5833333333335,36,15,57455,2872.75,72,36,0.5,87522,1215.5833333333333
2,2022,41,28,785396,19156.0,41,23,720930,17583.658536585364,82,51,0.6219512195121951,1506326,18369.829268292684
2,2023,41,32,785396,19156.0,41,25,772066,18830.878048780487,82,57,0.6951219512195121,1557462,18993.439024390245
2,2024,39,35,747084,19156.0,38,26,713124,18766.42105263158,77,61,0.7922077922077922,1460208,18963.74025974026
3,2005,41,14,591701,14431.731707317073,41,4,685409,16717.29268292683,82,18,0.21951219512195122,1277110,15574.512195121952
3,2006,41,17,671011,16366.121951219513,41,9,701798,17117.024390243903,82,26,0.3170731707317073,1372809,16741.573170731706
3,2007,41,20,637520,15549.268292682927,41,13,716570,17477.317073170732,82,33,0.4024390243902439,1354090,16513.29268292683
3,2008,41,21,603403,14717.146341463415,41,11,709067,17294.317073170732,82,32,0.3902439024390244,1312470,16005.731707317073
3,2009,41,23,597548,14574.341463414634,41,12,709734,17310.585365853658,82,35,0.4268292682926829,1307282,15942.463414634147
3,2010,41,31,648520,15817.560975609756,41,13,685158,16711.170731707316,82,44,0.5365853658536586,1333678,16264.365853658537
3,2011,41,21,649694,15846.19512195122,41,13,675411,16473.439024390245,82,34,0.4146341463414634,1325105,16159.817073170732
3,2012,33,4,486984,14757.09090909091,33,3,545638,16534.484848484848,66,7,0.10606060606060606,1032622,15645.787878787878
3,2013,41,15,628293,15324.219512195123,41,6,677889,16533.878048780487,82,21,0.25609756097560976,1306182,15929.048780487805
3,2014,41,25,636268,15518.731707317073,41,18,698106,17026.975609756097,82,43,0.524390243902439,1334374,16272.853658536585
3,2015,41,19,704886,17192.341463414636,41,14,723833,17654.463414634145,82,33,0.4024390243902439,1428719,17423.40243902439
3,2016,41,30,716894,17485.219512195123,41,18,729157,17784.317073170732,82,48,0.5853658536585366,1446051,17634.768292682926
3,2017,41,22,710643,17332.756097560974,41,14,720119,17563.878048780487,82,36,0.43902439024390244,1430762,17448.317073170732
3,2018,41,21,671404,16375.707317073171,41,15,722558,17623.365853658535,82,36,0.43902439024390244,1393962,16999.536585365855
3,2019,41,25,676570,16501.70731707317,41,14,723570,17648.048780487807,82,39,0.47560975609756095,1400140,17074.878048780487
3,2020,31,10,478591,15438.41935483871,34,13,597193,17564.5,65,23,0.35384615384615387,1075784,16550.523076923077
3,2021,36,18,68255,3791.9444444444443,36,15,37821,2521.4,72,33,0.4583333333333333,106076,1473.2777777777778
3,2022,41,22,700755,17091.585365853658,41,21,700136,17503.4,82,43,0.524390243902439,1400891,17084.036585365855
3,2023,41,13,702052,17123.219512195123,41,14,739344,18032.780487804877,82,27,0.32926829268292684,1441396,17578.0
3,2024,39,11,639469,16396.641025641027,39,9,712295,18263.97435897436,78,20,0.2564102564102564,1351764,17330.30769230769
4,2005,41,11,583070,14221.219512195123,41,7,684323,16690.80487804878,82,18,0.21951219512195122,1267393,15456.012195121952
4,2006,41,24,744920,18168.780487804877,41,14,683051,16659.780487804877,82,38,0.4634146341463415,1427971,17414.280487804877
4,2007,41,24,731165,17833.29268292683,41,15,696244,16981.560975609755,82,39,0.47560975609756095,1427409,17407.426829268294
4,2008,41,30,581432,14181.268292682927,41,26,674121,16853.025,82,56,0.6829268292682927,1255553,15311.621951219513
4,2009,41,28,695727,16968.951219512193,41,21,727689,17748.51219512195,82,49,0.5975609756097561,1423416,17358.731707317074
4,2010,41,24,617366,15057.707317073171,41,13,703920,17168.780487804877,82,37,0.45121951219512196,1321286,16113.243902439024
4,2011,41,28,603088,14709.463414634147,41,18,704368,17179.70731707317,82,46,0.5609756097560976,1307456,15944.585365853658
4,2012,33,11,498618,15109.636363636364,33,10,551676,16717.454545454544,66,21,0.3181818181818182,1050294,15913.545454545454
4,2013,41,16,565930,13803.170731707318,41,11,707426,17254.29268292683,82,27,0.32926829268292684,1273356,15528.731707317073
4,2014,41,22,672029,16390.951219512193,41,12,713288,17397.268292682926,82,34,0.4146341463414634,1385317,16894.10975609756
4,2015,41,28,683757,16677.0,41,17,723265,17640.60975609756,82,45,0.5487804878048781,1407022,17158.80487804878
4,2016,41,21,688549,16793.878048780487,41,9,731893,17851.048780487807,82,30,0.36585365853658536,1420442,17322.463414634145
4,2017,41,21,663099,16173.146341463415,41,13,740577,18062.853658536584,82,34,0.4146341463414634,1403676,17118.0
4,2018,41,24,673920,16437.073170731706,41,24,734378,17911.658536585364,82,48,0.5853658536585366,1408298,17174.365853658535
4,2019,41,19,656183,16004.463414634147,41,14,724356,17667.219512195123,82,33,0.4024390243902439,1380539,16835.841463414636
4,2020,36,15,528172,16505.375,36,15,562718,18152.1935483871,72,30,0.4166666666666667,1090890,15151.25
4,2021,36,18,89370,2882.9032258064517,36,13,51001,3000.0588235294117,72,31,0.4305555555555556,140371,1949.5972222222222
4,2022,41,19,635941,15510.756097560976,41,17,664845,16621.125,82,36,0.43902439024390244,1300786,15863.243902439024
4,2023,41,27,687691,16772.951219512193,41,15,738885,18021.585365853658,82,42,0.5121951219512195,1426576,17397.268292682926
4,2024,38,19,660422,17379.526315789473,38,26,692437,18222.026315789473,76,45,0.5921052631578947,1352859,17800.776315789473
5,2005,41,27,828384,20204.48780487805,41,20,710733,17334.951219512193,82,47,0.573170731707317,1539117,18769.719512195123
5,2006,41,21,868720,21188.29268292683,41,20,713293,17397.39024390244,82,41,0.5,1582013,19292.841463414636
5,2007,41,31,912364,22252.780487804877,41,18,744276,18153.073170731706,82,49,0.5975609756097561,1656640,20202.926829268294
5,2008,41,20,901502,21987.853658536584,41,13,711494,17353.51219512195,82,33,0.4024390243902439,1612996,19670.682926829268
5,2009,41,28,868667,21187.0,41,13,719902,17558.585365853658,82,41,0.5,1588569,19372.79268292683
5,2010,41,24,849760,20725.853658536584,41,17,727138,17735.073170731706,82,41,0.5,1576898,19230.463414634145
5,2011,41,36,893462,21791.756097560974,41,26,755676,18431.121951219513,82,62,0.7560975609756098,1649138,20111.439024390245
5,2012,33,26,731326,22161.39393939394,33,24,593639,17989.060606060608,66,50,0.7575757575757576,1324965,20075.227272727272
5,2013,41,24,896944,21876.682926829268,41,21,743927,18144.560975609755,82,45,0.5487804878048781,1640871,20010.621951219513
5,2014,41,27,890370,21716.341463414636,41,21,719618,17551.658536585364,82,48,0.5853658536585366,1609988,19634.0
5,2015,41,27,896525,21866.463414634145,41,23,754592,18404.682926829268,82,50,0.6097560975609756,1651117,20135.573170731706
5,2016,41,26,894659,21820.951219512193,41,16,744400,18156.09756097561,82,42,0.5121951219512195,1639059,19988.524390243903
5,2017,41,25,888882,21680.048780487807,41,16,739359,18033.146341463416,82,41,0.5,1628241,19856.59756097561
5,2018,41,17,851824,20776.19512195122,41,10,739664,18040.585365853658,82,27,0.32926829268292684,1591488,19408.39024390244
