Team,Metro Area,Est. Metro Population (millions),Media Market Rank (Nielsen),Market Size Category
Atlanta Hawks,"Atlanta, GA",6.0,7,Mid
Boston Celtics,"Boston, MA",4.9,10,Large
Brooklyn Nets,"New York, NY",19.6,1,Large
Charlotte Hornets,"Charlotte, NC",2.8,22,Mid
Chicago Bulls,"Chicago, IL",9.5,3,Large
Cleveland Cavaliers,"Cleveland, OH",2.0,19,Small
Dallas Mavericks,"Dallas-Fort Worth, TX",7.6,5,Large
Denver Nuggets,"Denver, CO",3.0,17,Mid
Detroit Pistons,"Detroit, MI",4.4,14,Mid
Golden State Warriors,"San Francisco Bay Area, CA",7.8,6,Large
Houston Rockets,"Houston, TX",7.1,8,Large
Indiana Pacers,"Indianapolis, IN",2.1,25,Small
LA Clippers,"Los Angeles, CA",13.2,2,Large
Los Angeles Lakers,"Los Angeles, CA",13.2,2,Large
Memphis Grizzlies,"Memphis, TN",1.3,51,Small
Miami Heat,"Miami, FL",6.1,18,Mid
Milwaukee Bucks,"Milwaukee, WI",1.6,37,Small
Minnesota Timberwolves,"Minneapolis-St. Paul, MN",3.7,15,Mid
New Orleans Pelicans,"New Orleans, LA",1.3,50,Small
New York Knicks,"New York, NY",19.6,1,Large
Oklahoma City Thunder,"Oklahoma City, OK",1.4,45,Small
Orlando Magic,"Orlando, FL",2.7,20,Mid
Philadelphia 76ers,"Philadelphia, PA",6.2,4,Large
Phoenix Suns,"Phoenix, AZ",5.1,11,Mid
Portland Trail Blazers,"Portland, OR",2.5,21,Mid
Sacramento Kings,"Sacramento, CA",2.4,20,Mid
San Antonio Spurs,"San Antonio, TX",2.6,31,Small
Toronto Raptors,"Toronto, ON",6.7,-,Large
Utah Jazz,"Salt Lake City, UT",1.2,27,Small
Washington Wizards,"Washington, DC",6.3,9,Large
