Table,Column ID,Column Name,Data Type,Not Null,Default Value,Primary Key
all_drafts,0,Rank,INTEGER,False,,False
all_drafts,1,Tm,TEXT,False,,False
all_drafts,2,Player,TEXT,False,,False
all_drafts,3,Yrs,INTEGER,False,,False
all_drafts,4,G,INTEGER,False,,False
all_drafts,5,MP,INTEGER,False,,False
all_drafts,6,WS,REAL,False,,False
all_drafts,7,WS/48,REAL,False,,False
all_drafts,8,Year,INTEGER,False,,False
all_drafts,9,Player_Link,TEXT,False,,False
all_drafts,10,player_id,TEXT,False,,False
all_drafts,11,Team,TEXT,False,,False
draft_summary,0,Rank,INTEGER,False,,False
draft_summary,1,Yrs,INTEGER,False,,False
draft_summary,2,G,INTEGER,False,,False
draft_summary,3,MP,INTEGER,False,,False
draft_summary,4,WS,REAL,False,,False
draft_summary,5,WS/48,REAL,False,,False
regular_seasons,0,Team,TEXT,False,,False
regular_seasons,1,Year,INTEGER,False,,False
regular_seasons,2,Wins,INTEGER,False,,False
regular_seasons,3,Losses,INTEGER,False,,False
regular_seasons,4,Pct,REAL,False,,False
all_playoff,0,Series,INTEGER,False,,False
all_playoff,1,Team 1,TEXT,False,,False
all_playoff,2,Team 2,TEXT,False,,False
all_playoff,3,Team 1 Wins,INTEGER,False,,False
all_playoff,4,Team 2 Wins,INTEGER,False,,False
all_playoff,5,Year,INTEGER,False,,False
per_game_stats,0,Season,TEXT,False,,False
per_game_stats,1,Age,INTEGER,False,,False
per_game_stats,2,Tm,TEXT,False,,False
per_game_stats,3,Lg,TEXT,False,,False
per_game_stats,4,Pos,TEXT,False,,False
per_game_stats,5,G,INTEGER,False,,False
per_game_stats,6,GS,REAL,False,,False
per_game_stats,7,MP,REAL,False,,False
per_game_stats,8,FG,REAL,False,,False
per_game_stats,9,FGA,REAL,False,,False
per_game_stats,10,FG%,REAL,False,,False
per_game_stats,11,3P,REAL,False,,False
per_game_stats,12,3PA,REAL,False,,False
per_game_stats,13,3P%,REAL,False,,False
per_game_stats,14,2P,REAL,False,,False
per_game_stats,15,2PA,REAL,False,,False
per_game_stats,16,2P%,REAL,False,,False
per_game_stats,17,eFG%,REAL,False,,False
per_game_stats,18,FT,REAL,False,,False
per_game_stats,19,FTA,REAL,False,,False
per_game_stats,20,FT%,REAL,False,,False
per_game_stats,21,ORB,REAL,False,,False
per_game_stats,22,DRB,REAL,False,,False
per_game_stats,23,TRB,REAL,False,,False
per_game_stats,24,AST,REAL,False,,False
per_game_stats,25,STL,REAL,False,,False
per_game_stats,26,BLK,REAL,False,,False
per_game_stats,27,TOV,REAL,False,,False
per_game_stats,28,PF,REAL,False,,False
per_game_stats,29,PTS,REAL,False,,False
per_game_stats,30,player_id,TEXT,False,,False
per_game_stats,31,Year,INTEGER,False,,False
per_game_stats,32,Team,TEXT,False,,False
total_stats,0,Season,TEXT,False,,False
total_stats,1,Age,INTEGER,False,,False
total_stats,2,Tm,TEXT,False,,False
total_stats,3,Lg,TEXT,False,,False
total_stats,4,Pos,TEXT,False,,False
total_stats,5,G,INTEGER,False,,False
total_stats,6,GS,REAL,False,,False
total_stats,7,MP,INTEGER,False,,False
total_stats,8,FG,INTEGER,False,,False
total_stats,9,FGA,INTEGER,False,,False
total_stats,10,FG%,REAL,False,,False
total_stats,11,3P,REAL,False,,False
total_stats,12,3PA,REAL,False,,False
total_stats,13,3P%,REAL,False,,False
total_stats,14,2P,INTEGER,False,,False
total_stats,15,2PA,INTEGER,False,,False
total_stats,16,2P%,REAL,False,,False
total_stats,17,eFG%,REAL,False,,False
