Team,City,Beginning-Year,Ending-Year,Abbreviation,franchise_id,teamId,other_abbreviation
Atlanta Hawks,Atlanta,1969,2025,ATL,1,1610612737,ATL
St. Louis Hawks,Atlanta,1956,1968,STL,1,1610612737,STL
Milwaukee Hawks,Atlanta,1952,1955,MLH,1,1610612737,MIL
Tri-Cities Blackhawks,Atlanta,1950,1951,TRI,1,1610612737,TRI
Boston Celtics,Boston,1947,2025,BOS,2,1610612738,BOS
Charlotte Bobcats,Charlotte,2005,2014,CHA,3,1610612766,CHA
Charlotte Hornets,Charlotte,2015,2025,CHO,3,1610612766,CHA
Charlotte Hornets,Charlotte,1989,2002,CHH,4,1610612766,CHA
New Orleans Hornets,New Orleans,2003,2005,NOH,4,1610612740,NOH
New Orleans/Oklahoma City Hornets,New Orleans,2006,2007,NOK,4,1610612740,NOK
New Orleans Hornets,New Orleans,2008,2013,NOH,4,1610612740,NOH
New Orleans Pelicans,New Orleans,2014,2025,NOP,4,1610612740,NOP
Chicago Bulls,Chicago,1967,2025,CHI,5,1610612741,CHI
Cleveland Cavaliers,Cleveland,1971,2025,CLE,6,1610612739,CLE
Dallas Mavericks,Dallas,1981,2025,DAL,7,1610612742,DAL
Denver Nuggets,Denver,1977,2025,DEN,8,1610612743,DEN
Denver Nuggets,Denver,1975,1976,DNA,8,1610612743,DEN
Denver Nuggets,Denver,1968,1974,DNR,8,1610612743,DEN
Detroit Pistons,Detroit,1958,2025,DET,9,1610612765,DET
Ft. Wayne Pistons,Detroit,1949,1957,FTW,9,1610612765,FWZ
Golden State Warriors,Golden State,1972,2025,GSW,10,1610612744,GSW
San Francisco Warriors,Golden State,1963,1971,SFW,10,1610612744,SF
Philadelphia Warriors,Golden State,1947,1962,PHW,10,1610612744,PHI
Houston Rockets,Houston,1972,2025,HOU,11,1610612745,HOU
San Diego Rockets,Houston,1968,1971,SDR,11,1610612745,SD
Indiana Pacers,Indiana,1977,2025,IND,12,1610612754,IND
Indiana Pacers,Indiana,1968,1976,INA,12,1610612754,IND
Los Angeles Clippers,LA Clippers,1985,2025,LAC,13,1610612746,LAC
San Diego Clippers,LA Clippers,1979,1984,SDC,13,1610612746,SDC
Buffalo Braves,LA Clippers,1971,1978,BUF,13,1610612746,BUF
Los Angeles Lakers,LA Lakers,1961,2025,LAL,14,1610612747,LAL
Minneapolis Lakers,LA Lakers,1949,1960,MNL,14,1610612747,MIN
Vancouver Grizzlies,Memphis,1996,2001,VAN,15,1610612763,VAN
Memphis Grizzlies,Memphis,2002,2025,MEM,15,1610612763,MEM
Miami Heat,Miami,1989,2025,MIA,16,1610612748,MIA
Milwaukee Bucks,Milwaukee,1969,2025,MIL,17,1610612749,MIL
Minnesota Timberwolves,Minnesota,1990,2025,MIN,18,1610612750,MIN
Brooklyn Nets,Brooklyn,2013,2025,BRK,19,1610612751,BKN
New Jersey Nets,Brooklyn,1978,2012,NJN,19,1610612751,NJ
New York Nets,Brooklyn,1977,1977,NYN,19,1610612751,NYK
