IMDB Series ID,IMDB Episode ID,Type,Text
tt0182576,tt1610748,S,"Quagmire's Dad is getting a sex change. The majority of the episode is making fun of this.

     





Edit"
tt0182576,tt1610748,S,"strong and crude sex references
 





Edit"
tt0182576,tt1610748,V,"Quagmire punched Brian the dog & he yelled at him & said Now lay there & DIE you piece of shit.

     





Edit"
tt0182576,tt1610748,V,"Quagmire attacks Brian & punches him violently because he slept with Ida This scene lasts a while.

     





Edit"
tt0182576,tt1610748,P,"Shit is heard in deleted scenes.

     





Edit"
tt0182576,tt1610748,P,"typical bad language, f*ck is said, strong sex references
 





Edit"
tt0182576,tt1610748,D,"social drinking
 





Edit"
tt0182576,tt1610748,I,"Should Be TV-MA-DLSV.

     





Edit"
tt0182576,tt1610748,I,"144 - Quagmire's Dad - TV-14-DLV.

     





Edit"
tt0182576,tt1610748,I,"Brian sleeps with Ida Nothing shown.

     





Edit"
tt6563112,tt6614410,S,"Synnove Karlsen (Holly) shown having sex in brief flashes in multiple postilions. A little more graphic sex than shown in the 1st two episodes. That said, nothing more than her bare breasts actually shown.

     





Edit"
tt0437741,tt1023761,S,"A few glimpses of lingerie and midriffs.

     





Edit"
tt0437741,tt1023761,P,"F*** audio censored.

     





Edit"
tt8531222,tt13694968,S,"Bare-chested boy is seen.

     





Edit"
tt2234222,tt6408790,S,"Man visits a woman in skin-tight dress at her apartment. They kiss and he lifts her onto a countertop to continue kissing. She stops him. She later admits he is making her ""wet."" No sex or nudity.

     





Edit"
tt2234222,tt6408790,I,"Woman kicks a man in the groin several times and wrestles him to the ground, choking him. She finally throws him out of her apartment.

     





Edit"
tt2234222,tt6408790,I,"A group of people begin rioting. They set a trailer on fire.

     





Edit"
tt2022170,tt2573964,S,"Woman moves male masseuse's hand to her breast and then lower, mentioning a big tip she'll leave and this will make her happy. He complies and seems to enjoy it. No nudity. He later discusses his new female clients wanting happy endings with spa manager.

     





Edit"
tt2022170,tt2573964,S,"Women rubs cream pie all over the bare chest of a client.

     





Edit"
tt0264235,tt0551403,S,"A couple talks about how they're not having sex.

     





Edit"
tt0264235,tt0551403,S,"None.

     





Edit"
tt0264235,tt0551403,V,"Two men get into a scuffle.

     





Edit"
tt2249007,tt3564604,S,"Girl flashes breats around 20 minutes on webcam.

     





Edit"
tt4555364,tt6093620,S,"Landry says a few sexual things to a woman about her body.

     





Edit"
tt4555364,tt6093620,S,"A girl tells a boy that her father will nail his ""crickets"" (genitals) to a tree after he suggests a few names for their children. He laughs and asks, ""You call them crickets?""

     





Edit"
tt4555364,tt6093620,V,"The violence is intense and bloody, but is quick cut, and the camera doesn't linger on the gore.

     





Edit"
tt4555364,tt6093620,V,"Early into the episode the Muslims lay siege to Acre. There is plenty of sword fighting which includes slashing and stabbing.

     





Edit"
tt4555364,tt6093620,V,"Templar cavalry charges through the Muslim ranks.

     





Edit"
tt4555364,tt6093620,V,"A Templar Knight slashes a Muslim's throat. Blood sprays.

     





Edit"
tt4555364,tt6093620,V,"Landry stabs a Muslim. We see Landry's sword pierce through the Muslim's back.

     





Edit"
tt4555364,tt6093620,V,"Godfrey is chased by highwaymen, and his horse is shot down.

     





Edit"
tt4555364,tt6093620,V,"Godfrey sword fights several men, killing most of them.

     





Edit"
tt4555364,tt6093620,V,"A man has a sword thrust through the back of his head, and out his mouth. The actual thrust is off screen, but we see him afterwards from the front with the blade protruding from his mouth.

     





Edit"
tt4555364,tt6093620,V,"A man hugs another man, then stabs him in the back numerous times with a knife.

     





Edit"
tt4555364,tt6093620,V,"An army of Templars crashes into a line of pikemen, and a brief but violent battle ensues. A girl tries to help the Templars and gets knocked around. The battle only lasts about a minute.

     





Edit"
tt4555364,tt6093620,V,"The Templars are seen with blood on their faces and clothing.

     





Edit"
tt4555364,tt6093620,V,"After the battle a close up of a leaf shows blood dripping off of it.

     





Edit"
tt4555364,tt6093620,P,"None whatsoever.

     





Edit"
tt4555364,tt6093620,D,"None

     





Edit"
tt4555364,tt6093620,I,"The battle scenes are fairly intense, but they do not last long.

     





Edit"
tt2149175,tt4303066,S,"Keri Russell shows off her bare butt

     





Edit"
tt10048342,tt10062318,S,"Beth tries and does bang Tim at a party. There's a sex scene that reveals no intimate parts but depicts a male orgasm.

     





Edit"
tt10048342,tt10062318,P,"3 uses of ""fuck""

     





Edit"
tt10048342,tt10062318,D,"Characters drink and smoke cigarettes, including Alma. Beth smokes pot.

     





Edit"
tt10048342,tt10062318,D,"Beth purchases Librium (Chlordiazepoxide) e,g, greenies.

     





Edit"
tt2085059,tt5709234,S,"A girl complains that's she's feeling a little twitchy (meaning she hasn't been rewarded with sexual dreams in a while)

     





Edit"
tt2085059,tt5709234,S,"There's a sex scene involving a bunch of naked women. Breasts are shown.

     





Edit"
tt2085059,tt5709234,S,"Topless woman and implied sex scene

     





Edit"
tt2085059,tt5709234,V,"Two soldiers scuffle. One gets wounded on the side/stomach, the other gets a bloody nose/mouth. Both survive.

     





Edit"
tt2085059,tt5709234,V,"Extreme violence including killing with guns and knives. Lots of blood and gore.

     





Edit"
tt2085059,tt5709234,P,"Lots of profanity, including but not limited to the f word

     





Edit"
tt2085059,tt5709234,D,"None

     





Edit"
tt2085059,tt5709234,I,"Considerable tension throughout, and extremely intense during the multiple violent scenes.

     





Edit"
tt0460681,tt0713620,S,"A woman is wearing a shirt that reveals her left shoulder.

     





Edit"
tt0460681,tt0713620,V,"There's a body whose skin has been taken off its face. The muscle and blood underneath are visible.
Dean fires a shotgun at a monster several times.
A group of four people have a conversation about murder and screams.
A scythe goes through the middle of a man's chest. It's got blood on it.
A woman cuts open a man's throat. His muscles are visible and he is bleeding rapidly. She then collects his blood in a cup and stirs it with her finger while saying an incantation. Spikes protrude from the blood and spin in the cup.

     





Edit"
tt0460681,tt0713620,I,"There's a very realistic scarecrow in an orchard. It moves its head to follow one of the characters. It might be scary to some viewers.
A girl trips over a body and it's like the skin has been taken off its face. She begins to scream loudly as a character, breathing heavily, walks toward her.
Dean finds a scarecrow made from a human being. The skin has sort of mummified.
A couple walks into an orchard and a shadow walks behind them.
As Dean is walking out a door, a man hits him in the face with the butt of his gun. It's kind of a ""jump"" moment.
A scythe goes through a man's chest and the monster holding it grabs the woman next to him and pulls both of them away, presumably as a sacrifice.

     





Edit"
tt7203552,tt9216718,S,"A woman is sexually assaulted. It's very explicit, but no nudity.

     





Edit"
tt7203552,tt9216718,S,"A man jokes about wanting to see a female colleague naked- several other characters are noticeably uncomfortable with this. It's heavily implied that he does this sort of thing often.

     





Edit"
tt7203552,tt9216718,D,"Some social drinking at a birthday party; a man is seen chugging a glass of wine after receiving stressful news; a man tries to convince a woman to go out drinking with him (she refuses).

     





Edit"
tt7203552,tt9216718,I,"Reporters cover the 2017 Las Vegas mass shooting.

     





Edit"
tt7203552,tt9216718,I,"A woman is sexually assaulted and is clearly left traumatized by it.

     





Edit"
tt0096697,tt3181566,S,"Homer says dick fiddler in a non-sexual way.

     





Edit"
tt0096697,tt3181566,P,"The word ""dick"" fiddler is used countless times during the third and fourth acts.

     





Edit"
tt0096697,tt3181566,D,"Krusty Inhala Cocaína Fuera De Las Pantallas

     





Edit"
tt11685912,tt14938484,S,"A man and a woman kiss passionatel, with a close up of their tongues intertwined with strands of saliva between them.

     





Edit"
tt11685912,tt14938484,V,"A firefight erupts between three characters

     





Edit"
tt11685912,tt14938484,V,"Head shot with blood spatter.

     





Edit"
tt11685912,tt14938484,V,"Accidental injuries.

     





Edit"
tt11685912,tt14938484,P,"Plenty of swearing, with several F bombs and taking the Lord's name in vain.

     





Edit"
tt11685912,tt14938484,D,"Smoking.

     





Edit"
tt0844441,tt1051966,S,"Full langth shot of man and woman lying prone and nude on a bed.

     





Edit"
tt0844441,tt1051966,S,"Several sex scenes with rear nudity, topless male nudity and a distant shot of Ms. Paquin's topless.

     





Edit"
tt0844441,tt1051966,V,"Choking and stangling.

     





Edit"
tt0844441,tt1051966,V,"Scenes with large volumes of blood.

     





Edit"
tt0844441,tt1051966,P,"F***.

     





Edit"
tt0844441,tt1051966,D,"Bag of micellaneous drugs. Taking a Valium.

     





Edit"
tt0096697,tt0701263,S,"Mr Burns mentions that the radiation from his nuclear power plant has left him ""as impotent as a Nevada boxing commissioner""

     





Edit"
tt0096697,tt0701263,P,"Bart says the dam and Homer asks him to stop casually sweating to which he replies ""hell yes""

     





Edit"
tt0096697,tt0701263,D,"The Cigarette Smoking Man from The X-Files can be seen smoking during the lie detector scene.

     





Edit"
tt0096697,tt0701263,D,"Homer drinks beer at Moe's Tavern.

     





Edit"
tt0096697,tt0701263,I,"Homer finds a glowing green ghost in the forest with a high voice that says ""don't be afraid"". Kids everywhere never watched The Simpsons again. Easily the most terrifying Simpsons episode by far, although nt as scary if you're an adult.

     





Edit"
tt0182576,tt26491408,S,"In one scene Peter and Becky are kissing.

     





Edit"
tt0182576,tt26491408,P,"One use of crap, oh my god, bitch, and who the hell.

     





Edit"
tt0182576,tt26491408,I,"In one scene Lois pulls Brian's collar and he chokes.

     





Edit"
tt0182576,tt26491408,I,"Rated TV-14 for suggestive dialogue, language, and a sex scene.

     





Edit"
tt11691774,tt13892584,P,"9 uses of the f-word 3 uses of sh-t

     





Edit"
tt11691774,tt13892584,P,"some profanity

     





Edit"
tt0098904,tt0697762,S,"George compares borrowing money with having sex.

     





Edit"
tt0098904,tt0697762,S,"George's boss tells a story about a man whose hands were perfect until he became addicted to masturbation (the word is never said, but heavily implied). He says that he hopes George has more self-control. George tells him that he doesn't have to worry because he won a contest (referring to an earlier episode in which the four main characters had a contest to see who could go the longest without masturbation).

     





Edit"
tt0098904,tt0697762,V,"Leslie pushes George, resulting in him burning his hands on an iron. He screams loudly. In the next scene, he has bandages on his hands.

     





Edit"
tt0098904,tt0697762,P,"Two uses of ""oh my God.""

     





Edit"
tt0098904,tt0697762,P,"Two uses of ""hell.""

     





Edit"
tt0098904,tt0697762,P,"One use of ""bastard.""

     





Edit"
tt0098904,tt0697762,P,"Derogatory terms such as ""nutjobs"" and ""idiot"" are used.

     





Edit"
tt0098904,tt0697762,D,"Kramer smokes a cigar in one scene.

     





Edit"
tt0098904,tt0697762,I,"None of concern.

     





Edit"
tt1586680,tt4080744,S,"A woman takes off her top to reveal her breasts to a man. She invites him into a room implying they're about to have sex.

     





Edit"
tt10681614,tt12619348,S,"In his university office, a female student is seen having sex, sitting astride the lap of a married male English professor, thrusting and panting; no nudity.

     





Edit"
tt7491982,tt31130011,I,"A pregnant woman is kidnapped and has bruises and handcuffed.

     





Edit"
tt1567432,tt2337423,S,"Some making out scenes

     





Edit"
tt1567432,tt2337423,S,"A man comes out the ground naked (no nudity)

     





Edit"
tt1567432,tt2337423,S,"Toward the beginning of the episode we see Lydia in the shower and we see her bare back.

     





Edit"
tt1567432,tt2337423,V,"A woman is shown with a bite mark on her shoulder graphic you see this a few times

     





Edit"
tt1567432,tt2337423,V,"A girl gets a screw screwed into her head you see this from a far distance

     





Edit"
tt1567432,tt2337423,V,"A woman stabs herself in the he chest with help from her husband

     





Edit"
tt1567432,tt2337423,I,"This episode is very emotional and tense

     





Edit"
tt7660850,tt11099454,I,"A very chaotic episode.

     





Edit"
tt3552166,tt3723626,P,"3 uses of shit 1 use of hell, damn, suck, crappy, shut up and freaking

     





Edit"
tt1220617,tt1236074,S,"A teenage's buttocks are seen naked.

     





Edit"
tt1220617,tt1236074,S,"Jay make strong sexual comments.

     





Edit"
tt1220617,tt1236074,S,"A female driving instructor sexually harass Simon.

     





Edit"
tt1220617,tt1236074,S,"Simon's driving teacher hits on him by putting her hands on his shoulders and her hand on his thighs that almost goes the way up.

     





Edit"
tt1220617,tt1236074,V,"Simon's car door comes off.

     





Edit"
tt1220617,tt1236074,P,"18 uses of the F word, 13 uses of 'Shit' 10 uses of 'God' 5 uses of 'Christ' 3 uses of 'Bollocks' 2 uses of 'Bloody' and 1 use of 'Jesus'

     





Edit"
tt4574334,tt6020684,S,"The scene when the character billy is introduced there is a close up on his fully clothed butt and a girl says ""wow would you look at that a*s.""

     





Edit"
tt4574334,tt6020684,S,"Adult kissing passionately in the back of the store she works at

     





Edit"
tt4574334,tt6020684,S,"Adults kissing passionately

     





Edit"
tt4574334,tt6020684,P,"The first line of the episode is ""son of a b***h."" And then when the kids go to the arcade Dustin says ""I hate this over priced bulls**t son of a b***h pice of s**t."" But that's about all the language in this episode

     





Edit"
tt4574334,tt6020684,P,"There are also 2 middle fingers one is quick and one is from a distance

     





Edit"
tt4574334,tt6020684,P,"The first few minutes of this episode contain frequent language but after the kids leave the arcade the language stops except there is still some mild stuff. All of the language they use in this episode is s**t and son of a b***h

     





Edit"
tt4574334,tt6020684,P,"15 uses of shit 1 paired with bull 1 with jack

     





Edit"
tt4574334,tt6020684,D,"Occasional smoking. Very brief.

     





Edit"
tt5834204,tt7435244,S,"There is no sexual acts or nudity in the episode

     





Edit"
tt5834204,tt7435244,V,"A man is shown deceased and hanging from a noose.

     





Edit"
tt5834204,tt7435244,D,"A scene where a character smokes a cigarette and another one where a few characters drinks alcohol.

     





Edit"
tt3322312,tt4125418,S,"Matt Murdock & Wilson Fisk are both seen shirtless.

     





Edit"
tt3322312,tt4125418,V,"Bill Fisk begins to beat his wife with a belt for many minutes. His son, Wilson, eventually resorts to taking a hammer to his father's head. Seeing her husband's fingers still move, she orders her son to bring the saw as they cut him into pieces and throw his body into the river.

     





Edit"
tt3322312,tt4125418,P,"Uses of shit only

     





Edit"
tt3322312,tt4125418,D,"Bill Fisk is seen drinking beer, and offers his son a sip.

     





Edit"
tt6156584,tt11146896,S,"A pregnant woman is discovered.

     





Edit"
tt6156584,tt11146896,S,"Mr. Wilford is seen in the bath; nothing is seen.

     





Edit"
tt1954347,tt2533214,S,"A man and woman are shown lying together in bed. They are only covered by the blanket from the waste down so you see the side of her breast.

     





Edit"
tt1865718,tt2152239,S,"A man points to a statue of a sasquatch in briefs, and calls it the ""Sascrotch.""

     





Edit"
tt1865718,tt2152239,S,"A brief montage of a girl attempting to flirt with several different boys.

     





Edit"
tt1865718,tt2152239,V,"A character appears to be bleeding, but when asked says it is just jam.

     





Edit"
tt1865718,tt2152239,V,"A character's hand falls off at one point, but there is no blood and he puts it back on his arm.

     





Edit"
tt1865718,tt2152239,V,"Brief fighting scenes.

     





Edit"
tt1865718,tt2152239,D,"None

     





Edit"
tt1865718,tt2152239,I,"It is implied throughout that one of the characters may be a zombie.

     





Edit"
tt1865718,tt2152239,I,"There is a scene where a character's hand suddenly and mysteriously falls off.

     





Edit"
tt1865718,tt2152239,I,"The giant gnome monster and fighting scenes may be scary for some small children.

     





Edit"
tt2802850,tt4001064,V,"Cut ears are shown

     





Edit"
tt2802850,tt4001064,V,"A man is seen putting a dead mans limbs through a meat grinder at a butcher's shop, some blood is seen.

     





Edit"
tt2802850,tt4001064,I,"Rated TV-MA for gory images.

     





Edit"
tt6315640,tt6335408,S,"Zahid mentions that he had sex with a veterinarian that he met online.

     





Edit"
tt6315640,tt6335408,P,"Three single uses of ""twat"". And one moment where in someone's head the word is repeated 34 times.

     





Edit"
tt10574558,tt10576748,V,"24 minutes into the episode, a character has their neck twisted back into place. You hear a loud crack when it is done.

     





Edit"
tt0364845,tt0657993,S,"A woman is seen sun bathing in the nude

     





Edit"
tt3501074,tt4967370,V,"35 minutes into the show, two people are shot at point blank.

     





Edit"
tt2467372,tt6693394,S,"Charles implies his pubic hair are gone gray.

     





Edit"
tt2467372,tt6693394,I,"Prison

     





Edit"
tt0149460,tt0768399,I,"This episode acts like a horror and it can be intense at times.

     





Edit"
tt0092400,tt0642370,S,"Al is looking through a porthole at a woman in a bikini. The woman kneels down out of view and comes up holding her bikini top, and then does it again and comes up holding her bikini bottoms. Nothing is actually shown.

     





Edit"
tt3006802,tt3809316,S,"During a witchcraft trial, Geillis strips naked. Her breasts are seen, but no bush. She shows as pregnant.

     





Edit"
tt3006802,tt3809316,S,"Cleavage of Claire, Geillis, and others are seen in various scenes.

     





Edit"
tt3006802,tt3809316,S,"Claire and Jamie engage in intercourse in the woods.

     





Edit"
tt3006802,tt3809316,V,"A woman is stripped of the garments covering her back and is flogged.

     





Edit"
tt3006802,tt3809316,V,"A woman accused of witchcraft is carried to a stake to be burned (no burning is seen).

     





Edit"
tt3006802,tt3809316,V,"A man brings a loaded pistol to a courtroom and fires it; no one is injured.

     





Edit"
tt3006802,tt3809316,V,"A man enters a crowded courtroom after his wife is accused of witchcraft. He defends her with his sword and knife.

     





Edit"
tt3006802,tt3809316,V,"A man is seen preparing an animal for cooking. Raw flesh is seen.

     





Edit"
tt3006802,tt3809316,P,"Single use of ""fucking""

     





Edit"
tt3006802,tt3809316,D,"A woman is given a flask of alcohol by a man which is intended to keep her warm.

     





Edit"
tt3006802,tt3809316,I,"Two women are accused and tried for witchcraft. The crowd shouts ""burn the witch"" in several scenes.

     





Edit"
