Title,Season,Episode Date,Viewers (millions),18-49 Demo,IMDb Series ID,Episode,season,episode,IMDb Episode ID
Sweet/Vicious,1,2016-11-15,0.270,0.12,tt5012644,1,1.0,1.0,tt5268456
Sweet/Vicious,1,2016-11-22,0.178,0.08,tt5012644,2,1.0,2.0,tt5751426
Sweet/Vicious,1,2016-11-29,0.139,0.07,tt5012644,3,1.0,3.0,tt5707972
Sweet/Vicious,1,2016-12-06,0.188,0.08,tt5012644,4,1.0,4.0,tt5707978
Sweet/Vicious,1,2016-12-13,0.136,0.06,tt5012644,5,1.0,5.0,tt5751428
Sweet/Vicious,1,2017-01-03,0.166,0.08,tt5012644,6,1.0,6.0,tt5751434
Sweet/Vicious,1,2017-01-10,0.142,0.06,tt5012644,7,1.0,7.0,tt5751436
Sweet/Vicious,1,2017-01-17,0.161,0.07,tt5012644,8,1.0,8.0,tt5751444
Sweet/Vicious,1,2017-01-24,0.239,0.12,tt5012644,9,1.0,9.0,tt5751446
Sweet/Vicious,1,2017-01-24,0.184,0.10,tt5012644,10,1.0,10.0,tt5751442
The A Word,1,2016-07-13,0.100,0.02,tt5311790,1,1.0,1.0,tt5351198
The A Word,1,2016-07-20,0.048,0.02,tt5311790,2,1.0,2.0,tt5351208
The A Word,1,2016-07-27,0.048,0.01,tt5311790,3,1.0,3.0,tt5351210
The A Word,1,2016-08-03,0.042,0.01,tt5311790,4,1.0,4.0,tt5351220
The A Word,1,2016-08-10,0.053,0.02,tt5311790,5,1.0,5.0,tt5351232
The A Word,1,2016-08-17,0.080,0.02,tt5311790,6,1.0,6.0,tt5351244
The A Word,2,2017-11-08,0.040,0.01,tt5311790,1,2.0,1.0,tt5758964
The A Word,2,2017-11-15,0.046,0.01,tt5311790,2,2.0,2.0,tt6969516
The A Word,2,2017-11-22,0.073,0.01,tt5311790,3,2.0,3.0,tt7141004
The A Word,2,2017-11-29,0.049,0.01,tt5311790,4,2.0,4.0,tt6987744
The A Word,2,2017-12-06,0.040,0.01,tt5311790,5,2.0,5.0,tt6987746
The A Word,2,2017-12-13,0.040,0.00,tt5311790,6,2.0,6.0,tt6987748
The A Word,3,2020-11-04,0.055,0.01,tt5311790,1,3.0,1.0,tt9723022
The A Word,3,2020-11-11,0.049,0.02,tt5311790,2,3.0,2.0,tt9723030
