Title,Season,Day of Week,Episode Date,Episode,18-49 Demo,Viewers (millions),IMDb Series ID,season,episode,IMDb Episode ID
flatbush misdemeanors,1,Sun,2021-05-23,1,0.01,0.08,tt13266618,1.0,1.0,tt13266622
flatbush misdemeanors,1,Sun,2021-05-30,2,0.04,0.13,tt13266618,1.0,2.0,tt13266624
flatbush misdemeanors,1,Sun,2021-06-06,3,0.01,0.088,tt13266618,1.0,3.0,tt13266626
flatbush misdemeanors,1,Sun,2021-06-13,4,0.01,0.05,tt13266618,1.0,4.0,tt13266628
flatbush misdemeanors,1,Sun,2021-06-20,5,0.01,0.06,tt13266618,1.0,5.0,tt13266630
flatbush misdemeanors,1,Sun,2021-06-27,6,0.02,0.054,tt13266618,1.0,6.0,tt13266632
flatbush misdemeanors,1,Sun,2021-07-11,7,0.01,0.049,tt13266618,1.0,7.0,tt13266634
flatbush misdemeanors,1,Sun,2021-07-18,8,0.0,0.06,tt13266618,1.0,8.0,tt13266636
flatbush misdemeanors,1,Sun,2021-07-25,9,0.02,0.055,tt13266618,1.0,9.0,tt13266640
flatbush misdemeanors,1,Sun,2021-08-01,10,0.02,0.06,tt13266618,1.0,10.0,tt13266642
chesapeake shores,6,Sun,2022-08-14,1,0.13,1.471,tt5151816,6.0,1.0,tt19226418
chesapeake shores,6,Sun,2022-08-21,2,0.11,1.387,tt5151816,6.0,2.0,tt21815478
chesapeake shores,6,Sun,2022-08-28,3,0.12,1.366,tt5151816,6.0,3.0,tt21815480
chesapeake shores,6,Sun,2022-09-04,4,0.11,1.355,tt5151816,6.0,4.0,tt21815492
chesapeake shores,6,Sun,2022-09-11,5,0.12,1.35,tt5151816,6.0,5.0,tt21815494
chesapeake shores,6,Sun,2022-09-18,6,0.11,1.319,tt5151816,6.0,6.0,tt21815500
chesapeake shores,6,Sun,2022-09-25,7,0.12,1.452,tt5151816,6.0,7.0,tt21815506
chesapeake shores,6,Sun,2022-10-02,8,0.11,1.453,tt5151816,6.0,8.0,tt21926066
chesapeake shores,6,Sun,2022-10-09,9,0.15,1.595,tt5151816,6.0,9.0,tt21974848
chesapeake shores,6,Sun,2022-10-16,10,0.19,1.909,tt5151816,6.0,10.0,tt21974850
life pieces,3,Thurs,2017-11-02,1,1.22,6.668,tt4384086,3.0,1.0,tt6687138
life pieces,3,Thurs,2017-11-09,2,1.18,6.529,tt4384086,3.0,2.0,tt7533158
life pieces,3,Thurs,2017-11-16,3,1.12,6.374,tt4384086,3.0,3.0,tt7369696
life pieces,3,Thurs,2017-11-23,4,1.28,5.932,tt4384086,3.0,4.0,tt7457868
life pieces,3,Thurs,2017-11-30,5,1.08,6.573,tt4384086,3.0,5.0,tt7647580
life pieces,3,Thurs,2017-12-07,6,1.08,6.49,tt4384086,3.0,6.0,tt7542378
life pieces,3,Thurs,2017-12-14,7,1.11,6.648,tt4384086,3.0,7.0,tt7565796
life pieces,3,Thurs,2017-12-21,8,1.07,6.715,tt4384086,3.0,8.0,tt7690096
life pieces,3,Thurs,2018-01-04,9,1.33,7.427,tt4384086,3.0,9.0,tt7728210
life pieces,3,Thurs,2018-01-11,10,1.23,7.184,tt4384086,3.0,10.0,tt7779168
life pieces,3,Thurs,2018-01-18,11,1.2,6.785,tt4384086,3.0,11.0,tt7728364
life pieces,3,Thurs,2018-02-01,12,1.23,7.109,tt4384086,3.0,12.0,tt7936762
