Show,Platform,Week Ending,Minutes (Millions)
AHSOKA,DISNEY+,"Aug. 27, 2023",829
AHSOKA,DISNEY+,"Sep. 3, 2023",487
AHSOKA,DISNEY+,"Sep. 10, 2023",459
AHSOKA,DISNEY+,"Sep. 17, 2023",577
AHSOKA,DISNEY+,"Sep. 24, 2023",570
AHSOKA,DISNEY+,"Oct. 1, 2023",572
AHSOKA,DISNEY+,"Oct. 8, 2023",575
ANDOR,DISNEY+,"Sep. 25, 2022",624
ANDOR,DISNEY+,"Oct. 2, 2022",485
ANDOR,DISNEY+,"Oct. 9, 2022",356
ANDOR,DISNEY+,"Oct. 16, 2022",405
ANDOR,DISNEY+,"Oct. 23, 2022",418
ANDOR,DISNEY+,"Oct. 30, 2022",385
ANDOR,DISNEY+,"Nov. 13, 2022",420
ANDOR,DISNEY+,"Nov. 20, 2022",455
ANDOR,DISNEY+,"Nov. 27, 2022",674
ECHO,HULU/DISNEY+,"Jan. 14, 2024",731
FALCON AND THE WINTER SOLDIER,DISNEY+,"Mar. 21, 2021",495
FALCON AND THE WINTER SOLDIER,DISNEY+,"Mar. 28, 2021",628
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 4, 2021",628
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 11, 2021",748
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 18, 2021",855
FALCON AND THE WINTER SOLDIER,DISNEY+,"Apr. 25, 2021",796
FALCON AND THE WINTER SOLDIER,DISNEY+,"May. 2, 2021",364
FALCON AND THE WINTER SOLDIER,DISNEY+,"May. 9, 2021",204
GOOSEBUMPS,HULU/DISNEY+,"Oct. 15, 2023",553
GOOSEBUMPS,HULU/DISNEY+,"Oct. 22, 2023",594
GOOSEBUMPS,HULU/DISNEY+,"Oct. 29, 2023",445
GOOSEBUMPS,HULU/DISNEY+,"Nov. 5, 2023",308
HAWKEYE,DISNEY+,"Nov. 28, 2021",853
HAWKEYE,DISNEY+,"Dec. 5, 2021",560
HAWKEYE,DISNEY+,"Dec. 12, 2021",527
HAWKEYE,DISNEY+,"Dec. 19, 2021",580
HAWKEYE,DISNEY+,"Dec. 26, 2021",938
HAWKEYE,DISNEY+,"Jan. 2, 2022",539
