Show Name,Season,Day of Week,Air Date,Episode,18-49 Demo,Viewers (millions)
flatbush misdemeanors,1,Sun,2021-05-23,01-01,0.01,0.080
flatbush misdemeanors,1,Sun,2021-05-30,01-02,0.04,0.130
flatbush misdemeanors,1,Sun,2021-06-06,01-03,0.01,0.088
flatbush misdemeanors,1,Sun,2021-06-13,01-04,0.01,0.050
flatbush misdemeanors,1,Sun,2021-06-20,01-05,0.01,0.060
flatbush misdemeanors,1,Sun,2021-06-27,01-06,0.02,0.054
flatbush misdemeanors,1,Sun,2021-07-11,01-07,0.01,0.049
flatbush misdemeanors,1,Sun,2021-07-18,01-08,0.00,0.060
flatbush misdemeanors,1,Sun,2021-07-25,01-09,0.02,0.055
flatbush misdemeanors,1,Sun,2021-08-01,01-10,0.02,0.060
chesapeake shores,6,Sun,2022-08-14,06-01,0.13,1.471
chesapeake shores,6,Sun,2022-08-21,06-02,0.11,1.387
chesapeake shores,6,Sun,2022-08-28,06-03,0.12,1.366
chesapeake shores,6,Sun,2022-09-04,06-04,0.11,1.355
chesapeake shores,6,Sun,2022-09-11,06-05,0.12,1.350
chesapeake shores,6,Sun,2022-09-18,06-06,0.11,1.319
chesapeake shores,6,Sun,2022-09-25,06-07,0.12,1.452
chesapeake shores,6,Sun,2022-10-02,06-08,0.11,1.453
chesapeake shores,6,Sun,2022-10-09,06-09,0.15,1.595
chesapeake shores,6,Sun,2022-10-16,06-10,0.19,1.909
life pieces,3,Thurs,2017-11-02,03-01,1.22,6.668
life pieces,3,Thurs,2017-11-09,03-02,1.18,6.529
life pieces,3,Thurs,2017-11-16,03-03,1.12,6.374
life pieces,3,Thurs,2017-11-23,03-04,1.28,5.932
life pieces,3,Thurs,2017-11-30,03-05,1.08,6.573
life pieces,3,Thurs,2017-12-07,03-06,1.08,6.490
life pieces,3,Thurs,2017-12-14,03-07,1.11,6.648
life pieces,3,Thurs,2017-12-21,03-08,1.07,6.715
life pieces,3,Thurs,2018-01-04,03-09,1.33,7.427
life pieces,3,Thurs,2018-01-11,03-10,1.23,7.184
life pieces,3,Thurs,2018-01-18,03-11,1.20,6.785
life pieces,3,Thurs,2018-02-01,03-12,1.23,7.109
life pieces,3,Thurs,2018-03-01,03-13,1.11,6.494
life pieces,3,Thurs,2018-03-08,03-14,1.19,6.716
life pieces,3,Thurs,2018-03-29,03-15,0.99,6.125
life pieces,3,Thurs,2018-04-05,03-16,0.93,6.094
life pieces,3,Thurs,2018-04-12,03-17,1.11,6.477
life pieces,3,Thurs,2018-04-19,03-18,1.00,6.292
life pieces,3,Thurs,2018-04-26,03-19,1.00,6.222
life pieces,3,Thurs,2018-05-03,03-20,1.00,6.245
