Show Name,Season,Href
1000000 pyramid,season one,https://tvseriesfinale.com/tv-show/1000000-pyramid-season-one-ratings/
100000 pyramid,season two,https://tvseriesfinale.com/tv-show/100000-pyramid-season-two-ratings/
100000 pyramid,season three,https://tvseriesfinale.com/tv-show/100000-pyramid-season-three-ratings/
the 100000 pyramid,season four,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-four-ratings/
the 100000 pyramid,season five,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-five-ratings/
the 100000 pyramid,season six,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-six-ratings/
the 100000 pyramid,season seven,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-seven-ratings/
12 monkeys,season two,https://tvseriesfinale.com/tv-show/12-monkeys-season-two-ratings/
12 monkeys,season three,https://tvseriesfinale.com/tv-show/12-monkeys-season-three-ratings/
12 monkeys,season four,https://tvseriesfinale.com/tv-show/12-monkeys-season-four-ratings/
9 1 1,season one,https://tvseriesfinale.com/tv-show/9-1-1-season-one-ratings/
9 1 1,season two,https://tvseriesfinale.com/tv-show/9-1-1-season-two-ratings/
9 1 1,season three,https://tvseriesfinale.com/tv-show/9-1-1-season-three-ratings/
9 1 1,season four,https://tvseriesfinale.com/tv-show/9-1-1-season-four-ratings/
9 1 1,season five,https://tvseriesfinale.com/tv-show/9-1-1-season-five-ratings/
9 1 1,season six,https://tvseriesfinale.com/tv-show/9-1-1-season-six-ratings/
9 1 1 lone star,season one,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-one-ratings/
9 1 1 lone star,season two,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-two-ratings/
9 1 1 lone star,season three,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-three-ratings/
9 1 1 lone star,season four,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-four-ratings/
2020,season 39,https://tvseriesfinale.com/tv-show/2020-season-39-ratings/
2020,season 40,https://tvseriesfinale.com/tv-show/2020-season-40-ratings/
20 20,season 41,https://tvseriesfinale.com/tv-show/20-20-season-41-ratings/
20 20,season 42,https://tvseriesfinale.com/tv-show/20-20-season-42-ratings/
20 20,season 43,https://tvseriesfinale.com/tv-show/20-20-season-43-ratings/
20 20,season 44,https://tvseriesfinale.com/tv-show/20-20-season-44-ratings/
20 20,season 46,https://tvseriesfinale.com/tv-show/20-20-season-46-ratings/
instant,season two,https://tvseriesfinale.com/tv-show/instant-season-two-ratings/
20 20 in an instant tv show,season three,https://tvseriesfinale.com/tv-show/20-20-in-an-instant-tv-show-season-three-ratings/
20 20 in an instant tv show,season four,https://tvseriesfinale.com/tv-show/20-20-in-an-instant-tv-show-season-four-ratings/
24 legacy,season one,https://tvseriesfinale.com/tv-show/24-legacy-season-one-ratings/
48 hours,season 33,https://tvseriesfinale.com/tv-show/48-hours-season-33-ratings/
48 hours,season 35,https://tvseriesfinale.com/tv-show/48-hours-season-35-ratings/
48 hours,season 36,https://tvseriesfinale.com/tv-show/48-hours-season-36-ratings/
48 hours ncis,season one,https://tvseriesfinale.com/tv-show/48-hours-ncis-season-one-ratings/
60 minutes,season 51,https://tvseriesfinale.com/tv-show/60-minutes-season-51-ratings/
60 minutes,season 52,https://tvseriesfinale.com/tv-show/60-minutes-season-52-ratings/
60 minutes,season 53,https://tvseriesfinale.com/tv-show/60-minutes-season-53-ratings/
60 minutes,season 54,https://tvseriesfinale.com/tv-show/60-minutes-season-54-ratings/
60 minutes,season 56,https://tvseriesfinale.com/tv-show/60-minutes-season-56-ratings/
61st street,season one,https://tvseriesfinale.com/tv-show/61st-street-season-one-ratings/
68 whiskey,season one,https://tvseriesfinale.com/tv-show/68-whiskey-season-one-ratings/
100,season four,https://tvseriesfinale.com/tv-show/100-season-four-ratings/
100,season five,https://tvseriesfinale.com/tv-show/100-season-five-ratings/
the 100,season seven,https://tvseriesfinale.com/tv-show/the-100-season-seven-ratings/
100 days to indy,season one,https://tvseriesfinale.com/tv-show/100-days-to-indy-season-one-ratings/
