Show Name,Season,Href,Google Docs
1000000 pyramid,season one,https://tvseriesfinale.com/tv-show/1000000-pyramid-season-one-ratings/,https://docs.google.com/spreadsheets/d/1fDDhVVuLxhWiZYf0rhHouQreu36bCgk6gBcUzJONvaw/pubhtml/sheet?headers=false&gid=1258055614&range=A1%3Ah30
100000 pyramid,season two,https://tvseriesfinale.com/tv-show/100000-pyramid-season-two-ratings/,https://docs.google.com/spreadsheets/d/1ToHTY-SGH1wLEo31kKz9TOE5PsdpBE20kqtr1BhJBVA/pubhtml/sheet?headers=false&gid=851734230&range=A1%3Ah100
100000 pyramid,season three,https://tvseriesfinale.com/tv-show/100000-pyramid-season-three-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlE5lTHpAmKbEOIFMoMB5xW95pIvYxFgcblbWzKL4ZDLRBAVL3Bt3WtXzA65dzsHZXuOrwhIXlQOfq/pubhtml/sheet?headers=false&gid=879580348&range=A1%3Ah100
the 100000 pyramid,season four,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-four-ratings/,https://docs.google.com/spreadsheets/d/1Z54g0izrymDxV0QDkwOGE9auYHrCu-FTYNpPDykzPJ8/pubhtml/sheet?headers=false&gid=539383729&range=A1%3Ah100
the 100000 pyramid,season five,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-five-ratings/,https://docs.google.com/spreadsheets/d/1NS9t3Pv-5_wq_fCkMbQDlf0scWZ_TYTsLp38Z8jaw_M/pubhtml/sheet?headers=false&gid=2122170836&range=A1%3Ah100
the 100000 pyramid,season six,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-six-ratings/,https://docs.google.com/spreadsheets/d/1UHVhAstyDVbA_72wuwSMX7TAPuO4Z_5sX1xbcmNjr2s/pubhtml/sheet?headers=false&gid=370180983&range=A1%3Ah100
the 100000 pyramid,season seven,https://tvseriesfinale.com/tv-show/the-100000-pyramid-season-seven-ratings/,https://docs.google.com/spreadsheets/d/15KTevMXvt9KrUmg0EAioSoNjNmhfRebf0-72WnZYlK8/pubhtml/sheet?headers=false&gid=742204250&range=A1%3Ah100
12 monkeys,season two,https://tvseriesfinale.com/tv-show/12-monkeys-season-two-ratings/,https://docs.google.com/spreadsheets/d/14IMssfgFsz8f3V5fAqkrt1xG_NUPQHNq4zimlz87N_c/pubhtml/sheet?headers=false&gid=372416191&range=A1%3AG30
12 monkeys,season three,https://tvseriesfinale.com/tv-show/12-monkeys-season-three-ratings/,https://docs.google.com/spreadsheets/d/14IMssfgFsz8f3V5fAqkrt1xG_NUPQHNq4zimlz87N_c/pubhtml/sheet?headers=false&gid=779809466&range=A1%3AG30
12 monkeys,season four,https://tvseriesfinale.com/tv-show/12-monkeys-season-four-ratings/,https://docs.google.com/spreadsheets/d/14IMssfgFsz8f3V5fAqkrt1xG_NUPQHNq4zimlz87N_c/pubhtml/sheet?headers=false&gid=797382552&range=A1%3AG30
9 1 1,season one,https://tvseriesfinale.com/tv-show/9-1-1-season-one-ratings/,https://docs.google.com/spreadsheets/d/1ftMGnLJFFncsXKJ6saeTkxhdfa23cittfFA2Z2rVogM/pubhtml/sheet?headers=false&gid=1933679017&range=A1%3Ah100
9 1 1,season two,https://tvseriesfinale.com/tv-show/9-1-1-season-two-ratings/,https://docs.google.com/spreadsheets/d/1n4PyBtJrphtdfhiPq884nmoV8wIMKHVrgbvYhJ-DV80/pubhtml/sheet?headers=false&gid=1933679017&range=A1%3Ah100
9 1 1,season three,https://tvseriesfinale.com/tv-show/9-1-1-season-three-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmoC8hQFbZMNtUzmwwjsO_0gIf7KnWMgEOC-2a4Bh_rCX1LCdAm6b-BWNfoIlttnPf2iy_4KQj0eFo/pubhtml/sheet?headers=false&gid=1735504453&range=A1%3Ah100
9 1 1,season four,https://tvseriesfinale.com/tv-show/9-1-1-season-four-ratings/,https://docs.google.com/spreadsheets/d/1um1vJjK_QbewPMm0sO1CczrrgO2FDmtjdN74LteZN7g/pubhtml/sheet?headers=false&gid=2128115176&range=A1%3Ah100
9 1 1,season five,https://tvseriesfinale.com/tv-show/9-1-1-season-five-ratings/,https://docs.google.com/spreadsheets/d/1PlugKIBMoFJpsdg8AZIYiS56GA8u5BxmNnpQ5v0wx1Q/pubhtml/sheet?headers=false&gid=2128115176&range=A1%3Ah100
9 1 1,season six,https://tvseriesfinale.com/tv-show/9-1-1-season-six-ratings/,https://docs.google.com/spreadsheets/d/1bCcF_doylXV5Q45d8vITOJBvhw6a3YcB2aJApWPLCGw/pubhtml/sheet?headers=false&gid=73842493&range=A1%3Ah100
9 1 1 lone star,season one,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-one-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmoC8hQFbZMNtUzmwwjsO_0gIf7KnWMgEOC-2a4Bh_rCX1LCdAm6b-BWNfoIlttnPf2iy_4KQj0eFo/pubhtml/sheet?headers=false&gid=1164849696&range=A1%3Ah100
9 1 1 lone star,season two,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-two-ratings/,https://docs.google.com/spreadsheets/d/1um1vJjK_QbewPMm0sO1CczrrgO2FDmtjdN74LteZN7g/pubhtml/sheet?headers=false&gid=505248530&range=A1%3Ah100
9 1 1 lone star,season three,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-three-ratings/,https://docs.google.com/spreadsheets/d/1PlugKIBMoFJpsdg8AZIYiS56GA8u5BxmNnpQ5v0wx1Q/pubhtml/sheet?headers=false&gid=2069827939&range=A1%3Ah100
9 1 1 lone star,season four,https://tvseriesfinale.com/tv-show/9-1-1-lone-star-season-four-ratings/,https://docs.google.com/spreadsheets/d/1bCcF_doylXV5Q45d8vITOJBvhw6a3YcB2aJApWPLCGw/pubhtml/sheet?headers=false&gid=1322558966&range=A1%3Ah100
2020,season 39,https://tvseriesfinale.com/tv-show/2020-season-39-ratings/,https://docs.google.com/spreadsheets/d/1ToHTY-SGH1wLEo31kKz9TOE5PsdpBE20kqtr1BhJBVA/pubhtml/sheet?headers=false&gid=2121087169&range=A1%3AG100
2020,season 40,https://tvseriesfinale.com/tv-show/2020-season-40-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlE5lTHpAmKbEOIFMoMB5xW95pIvYxFgcblbWzKL4ZDLRBAVL3Bt3WtXzA65dzsHZXuOrwhIXlQOfq/pubhtml/sheet?headers=false&gid=921440563&range=A1%3AG100
20 20,season 41,https://tvseriesfinale.com/tv-show/20-20-season-41-ratings/,https://docs.google.com/spreadsheets/d/1Z54g0izrymDxV0QDkwOGE9auYHrCu-FTYNpPDykzPJ8/pubhtml/sheet?headers=false&gid=921440563&range=A1%3AG100
20 20,season 42,https://tvseriesfinale.com/tv-show/20-20-season-42-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTrXdDjlQ_DsAe7hNjPK48UpmMYmbZE2_I1S3x0frJJbOh448s7NI2vSBYNr_z6DgMwoksah-NZBkKB/pubhtml/sheet?headers=false&gid=921440563&range=A1%3Ag100
20 20,season 43,https://tvseriesfinale.com/tv-show/20-20-season-43-ratings/,https://docs.google.com/spreadsheets/d/1NS9t3Pv-5_wq_fCkMbQDlf0scWZ_TYTsLp38Z8jaw_M/pubhtml/sheet?headers=false&gid=921440563&range=A1%3Ah100
20 20,season 44,https://tvseriesfinale.com/tv-show/20-20-season-44-ratings/,https://docs.google.com/spreadsheets/d/1UHVhAstyDVbA_72wuwSMX7TAPuO4Z_5sX1xbcmNjr2s/pubhtml/sheet?headers=false&gid=921440563&range=A1%3Ah100
20 20,season 46,https://tvseriesfinale.com/tv-show/20-20-season-46-ratings/,https://docs.google.com/spreadsheets/d/15KTevMXvt9KrUmg0EAioSoNjNmhfRebf0-72WnZYlK8/pubhtml/sheet?headers=false&gid=921440563&range=A1%3Ah100
instant,season two,https://tvseriesfinale.com/tv-show/instant-season-two-ratings/,https://docs.google.com/spreadsheets/d/1fDDhVVuLxhWiZYf0rhHouQreu36bCgk6gBcUzJONvaw/pubhtml/sheet?headers=false&gid=773570360&range=A1%3Ah50
20 20 in an instant tv show,season three,https://tvseriesfinale.com/tv-show/20-20-in-an-instant-tv-show-season-three-ratings/,https://docs.google.com/spreadsheets/d/1ToHTY-SGH1wLEo31kKz9TOE5PsdpBE20kqtr1BhJBVA/pubhtml/sheet?headers=false&gid=761937532&range=A1%3Ah100
20 20 in an instant tv show,season four,https://tvseriesfinale.com/tv-show/20-20-in-an-instant-tv-show-season-four-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlE5lTHpAmKbEOIFMoMB5xW95pIvYxFgcblbWzKL4ZDLRBAVL3Bt3WtXzA65dzsHZXuOrwhIXlQOfq/pubhtml/sheet?headers=false&gid=473570928&range=A1%3Ah100
24 legacy,season one,https://tvseriesfinale.com/tv-show/24-legacy-season-one-ratings/,https://docs.google.com/spreadsheets/d/1avKfTwLT9jXPNSzSisElW1a1bufQnuPCAwE_k817Z90/pubhtml/sheet?headers=false&gid=302461022&range=A1%3Ah100
48 hours,season 33,https://tvseriesfinale.com/tv-show/48-hours-season-33-ratings/,https://docs.google.com/spreadsheets/d/1dBByBwNRkBxn64JkURCCBbkdekn50VAxa3AfH7pZK04/pubhtml/sheet?headers=false&gid=891755819&range=A1%3Ah100
48 hours,season 35,https://tvseriesfinale.com/tv-show/48-hours-season-35-ratings/,https://docs.google.com/spreadsheets/d/1_sakYamJH4LVbbDwVcQ-b6tvhOWWTnOVbh4nIqrMlVM/pubhtml/sheet?headers=false&gid=1335442495&range=A1%3Ah100
48 hours,season 36,https://tvseriesfinale.com/tv-show/48-hours-season-36-ratings/,https://docs.google.com/spreadsheets/d/1Ii2QZoWwUROqd4TnVe05t4fNPdqfeER4kQIpqwyDIs4/pubhtml/sheet?headers=false&gid=1335442495&range=A1%3Ah100
48 hours ncis,season one,https://tvseriesfinale.com/tv-show/48-hours-ncis-season-one-ratings/,https://docs.google.com/spreadsheets/d/1Ub6cOIe00Wo4XJdKk3yPaVemFqvLqQghNx37sCpoMZM/pubhtml/sheet?headers=false&gid=1286334497&range=A1%3Ah100
60 minutes,season 51,https://tvseriesfinale.com/tv-show/60-minutes-season-51-ratings/,https://docs.google.com/spreadsheets/d/1qlYGtdgF6N3UIJArkhteiD8B0zo8akewHTR0Jd_ceOE/pubhtml/sheet?headers=false&gid=1756130261&range=A1%3Ah100
60 minutes,season 52,https://tvseriesfinale.com/tv-show/60-minutes-season-52-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vT0r9Z1zIFp1HCpQK8PJDq8yeZzWrPf8e5BhFbpOvRROSxNyF6FMc5WC4jKRtnUWwnK66Gam6BNkEHI/pubhtml/sheet?headers=false&gid=1756130261&range=A1%3Ag100
60 minutes,season 53,https://tvseriesfinale.com/tv-show/60-minutes-season-53-ratings/,https://docs.google.com/spreadsheets/d/1dBByBwNRkBxn64JkURCCBbkdekn50VAxa3AfH7pZK04/pubhtml/sheet?headers=false&gid=1756130261&range=A1%3Ag100
60 minutes,season 54,https://tvseriesfinale.com/tv-show/60-minutes-season-54-ratings/,https://docs.google.com/spreadsheets/d/1gPmjJd_L8Sp9Vp5qI5sfS69ztHiav5B4fFPrTOSmVMs/pubhtml/sheet?headers=false&gid=1756130261&range=A1%3Ah100
60 minutes,season 56,https://tvseriesfinale.com/tv-show/60-minutes-season-56-ratings/,https://docs.google.com/spreadsheets/d/1Ii2QZoWwUROqd4TnVe05t4fNPdqfeER4kQIpqwyDIs4/pubhtml/sheet?headers=false&gid=1756130261&range=A1%3Ah100
61st street,season one,https://tvseriesfinale.com/tv-show/61st-street-season-one-ratings/,https://docs.google.com/spreadsheets/d/13J-oeB6b8gpR4AGlw7PZS-4FvjvPKN5_0JFfGwsDXG4/pubhtml/sheet?headers=false&gid=1902447928&range=A1%3AG23&output=html&rm=minimal
68 whiskey,season one,https://tvseriesfinale.com/tv-show/68-whiskey-season-one-ratings/,https://docs.google.com/spreadsheets/d/1TVuPPYWjLX0S3WrKO5AogtfcZ95_B1EHvknn6U1utU8/pubhtml/sheet?headers=false&gid=1679247470&range=A1%3AG46
