,theme_park,ride_name,incident_count
50,Islands of Adventure,Harry Potter and the Forbidden Journey,44
74,Magic Kingdom,Space Mountain,39
2,Animal Kingdom,Expedition Everest,38
25,Epcot,Mission: Space,36
36,Hollywood Studios,Rock 'n' Roller Coaster Starring Aerosmith,23
4,Animal Kingdom,Kilimanjaro Safaris Expedition,21
100,Universal Studios,Revenge of the Mummy,17
38,Hollywood Studios,Star Tours: The Adventure Continues,16
41,Hollywood Studios,The Twilight Zone Tower of Terror,16
0,Animal Kingdom,Avatar Flight of Passage,15
88,Typhoon Lagoon,Surf Pool,15
97,Universal Studios,Hollywood Rip Ride Rocket,14
1,Animal Kingdom,Dinosaur,14
61,Magic Kingdom,Buzz Lightyears Space Ranger Spin,13
64,Magic Kingdom,Haunted Mansion,12
60,Magic Kingdom,Big Thunder Mountain Railroad,12
28,Epcot,Spaceship Earth,12
46,Islands of Adventure,Dragon Challenge,11
70,Magic Kingdom,Pirates of the Caribbean,11
58,Islands of Adventure,The Incredible Hulk Coaster,11
30,Epcot,The Seas with Nemo & Friends,10
68,Magic Kingdom,Mad Tea Party,10
75,Magic Kingdom,Splash Mountain,10
71,Magic Kingdom,Prince Charming Regal Carousel,10
80,Magic Kingdom,Tomorrowland Speedway,9
27,Epcot,Soarin' Around the World,9
19,Epcot,Ellen's Energy Adventure,8
69,Magic Kingdom,Peter Pan's Flight,8
85,Typhoon Lagoon,Mayday Falls,7
92,Universal Studios,E.T Adventure,7
42,Hollywood Studios,Toy Story Midway Mania!,7
82,Magic Kingdom,Under the Sea - Journey of the Little Mermaid,6
81,Magic Kingdom,Tomorrowland Transit Authority People Mover,6
66,Magic Kingdom,Jungle Cruise,6
29,Epcot,Test Track,6
99,Universal Studios,Men In Black,6
32,Hollywood Studios,Great Movie Ride,6
3,Animal Kingdom,Kali River Rapids,6
44,Islands of Adventure,Caro-Seuss-el,6
8,Blizzard Beach,Castaway Creek,5
87,Typhoon Lagoon,Storm Slide-Rudder Buster,5
12,Blizzard Beach,Downhill Double Dipper,4
96,Universal Studios,Harry Potter and the Escape from Gringotts,4
21,Epcot,Gran Fiesta Tour Attraction,4
77,Magic Kingdom,The Liberty Belle,4
90,Universal Studios,Despicable Me Minion Mayhem,4
47,Islands of Adventure,Dudley Do Rights Ripsaw Falls,4
17,Blizzard Beach,Teamboat Springs,4
111,Volcano Bay,Tai Nui Serpentine Body Slide,4
72,Magic Kingdom,Seven Dwarfs Mine Train,4
93,Universal Studios,Fast & Furious - Supercharged,3
65,Magic Kingdom,It's A Small World,3
102,Universal Studios,The Simpsons Ride,3
106,Volcano Bay,Kopiko Wai Winding River,3
84,Typhoon Lagoon,Humunga Kowabunga,3
56,Islands of Adventure,The Amazing Adventures of Spiderman,3
112,Volcano Bay,Te'awa The Fearless River,3
49,Islands of Adventure,Hagrid's Magical Creatures Motorbike Adventure,3
33,Hollywood Studios,Honey I Shrunk The Kids,3
43,Islands of Adventure,Camp Jurassic,3
73,Magic Kingdom,Snow White's Scary Adventures,2
13,Blizzard Beach,Meltaway Bay,2
11,Blizzard Beach,Crush n' Gusher,2
18,Blizzard Beach,Toboggan Racers,2
86,Typhoon Lagoon,Miss Adventure Falls,2
22,Epcot,Journey info Imagination with Figment,2
10,Blizzard Beach,Cross County Creek,2
83,Magic Kingdom,Walt Disney World Railroad,2
9,Blizzard Beach,Chair Lift,2
103,Universal Studios,Transformers: The Ride 3D,2
76,Magic Kingdom,The Barnstormer,2
34,Hollywood Studios,Mickey & Minnie's Runaway Railway,2
35,Hollywood Studios,Millennium Falcon: Smugglers Run,2
37,Hollywood Studios,Slinky Dog Dash,2
62,Magic Kingdom,Carousel of Progress,2
54,Islands of Adventure,Poseidon's Fury,2
59,Magic Kingdom,Astro Orbiter,2
52,Islands of Adventure,Jurassic Park River Adventure,2
94,Universal Studios,Fievel's Playground,2
45,Islands of Adventure,Dr Doom's Fearfall,2
107,Volcano Bay,Oh! No! Drop Slide,1
7,Animal Kingdom,Wildlife Express,1
101,Universal Studios,Terminator 2: 3D,1
108,Volcano Bay,Puihi Raft Ride,1
14,Blizzard Beach,Slush Gusher,1
110,Volcano Bay,Runamukka Reef,1
104,Volcano Bay,Kala Serpentine Body Slide,1
98,Universal Studios,Kang & Kodos Twirl n' Hurl,1
5,Animal Kingdom,Na'vi River Journey,1
6,Animal Kingdom,Primeval Whirl,1
105,Volcano Bay,Ko'okiri Body Plunge,1
95,Universal Studios,Halloween Horror Nights,1
109,Volcano Bay,Punga Racers,1
55,Islands of Adventure,Storm Force Acceleration,1
15,Blizzard Beach,Summit Plummet,1
78,Magic Kingdom,The Magic Carpets of Aladdin,1
53,Islands of Adventure,Jurassic World VelociCoaster,1
63,Magic Kingdom,Dumbo,1
51,Islands of Adventure,If I Ran the Zoo,1
48,Islands of Adventure,Flight of the Hippogriff,1
67,Magic Kingdom,Liberty Riverboat,1
40,Hollywood Studios,Studio Backlot Tour,1
39,Hollywood Studios,Star Wars: Rise of the Resistance,1
79,Magic Kingdom,The Many Adventures of Winnie the Pooh,1
91,Universal Studios,Disaster,1
31,Hollywood Studios,Alien Swirling Saucers,1
26,Epcot,Remy' s Ratatouille Adventure,1
24,Epcot,Maelstrom,1
57,Islands of Adventure,The Cat In The Hat,1
20,Epcot,Frozen Ever After,1
89,Universal Studios,Back to the Future,1
16,Blizzard Beach,Surf Pool,1
23,Epcot,Living with the Land,1
