Ride name,Location,Opening date,Type,Manufacturer,Height,Length,Speed,Inversions,Duration,Capacity,Cost,Drop,Max vertical angle,G-force,Height Restriction,Park number
ARTHUR,Europa-Park,June 2014,Steel – Inverted – Powered,Mack Rides,13.5 m (44 ft),"550 m (1,800 ft)",31 km/h (19 mph),0,4 minutes,"1,600 riders per hour",€25 million,,,,,51
Abyssus,Energylandia,"July 14, 2021",Steel – Launched,Vekoma,126.3 ft (38.5 m),"4,317.6 ft (1,316.0 m)",62.1 mph (99.9 km/h),4,,1000 riders per hour,"€11,000,000",,,4.5,,317
Adventure Express,Kings Island,"April 13, 1991",Steel – Mine Train,Arrow Dynamics,63 ft (19 m),"2,963 ft (903 m)",35 mph (56 km/h),0,2:20,1600 riders per hour,"$4,000,000",,,3.8,,60
Afterburn,Carowinds,"March 20, 1999",Steel – Inverted,Bolliger & Mabillard,113 ft (34 m),"2,956 ft (901 m)",62 mph (100 km/h),6,2:47,1380 riders per hour,US$10.5 million,,,,,59
Alpenexpress Enzian,Europa-Park,1984,Steel – Powered – Virtual reality,Mack Rides,6 m (20 ft),264 m (866 ft),45 km/h (28 mph),0,1:40,1100 riders per hour,,,,,,51
Alpengeist,Busch Gardens Williamsburg,"March 22, 1997",Steel – Inverted,Bolliger & Mabillard,195 ft (59 m),"3,828 ft (1,167 m)",67 mph (108 km/h),6,3:10,1820 riders per hour,$20 million,170 ft (52 m),79°,3.7,,23
American Thunder,Six Flags St. Louis,"June 20, 2008",Wood,Great Coasters International,82 ft (25 m),"2,713 ft (827 m)",48 mph (77 km/h),0,,850 riders per hour,"US$7,000,000",80 ft (24 m),,,,36
Anaconda,Kings Dominion,"March 23, 1991",Steel,Arrow Dynamics,128 ft (39 m),"2,700 ft (820 m)",50 mph (80 km/h),4,1:50,"1,400 riders per hour","$5,000,000[1]",144 ft (44 m),,5.1,,62
Apocalypse: The Ride,Six Flags Magic Mountain,"May 23, 2009",Wood,Great Coasters International,95 ft (29 m),"2,877 ft (877 m)",50.1 mph (80.6 km/h),,3:00,1000 riders per hour,"$10,000,000",87.3 ft (26.6 m),,,,32
Apollo's Chariot,Busch Gardens Williamsburg,"March 30, 1999",Steel,Bolliger & Mabillard,170 ft (52 m),"4,882 ft (1,488 m)",73 mph (117 km/h),0,2:15,"1,750 riders per hour",US$20 million,210 ft (64 m),65°,4.1,,23
Apple Zapple,Kings Dominion,"March 22, 2002",Steel – Wild Mouse,Mack Rides,52 ft (16 m),"1,312 ft (400 m)",35 mph (56 km/h),0,,960 riders per hour,,50 ft (15 m),,,,62
Avalanche,Blackpool Pleasure Beach,22 June 1988,Steel – Bobsled,Mack Rides,59 ft (18 m),"1,161 ft (354 m)",45 mph (72 km/h),0,1:22,,"£2,500,000",,,,,273
Balder,Liseberg,12 April 2003,Wood,Intamin,36 m (118 ft),"1,070 m (3,510 ft)",90 km/h (56 mph),0,2:08,"1,200 riders per hour","100 million SEK (=approx. $12,6 million)",30.5 m (100 ft),70°,,,11
Bandit,Movie Park Germany,1999,Wood,Roller Coaster Corporation of America,27.8 m (91 ft),"1,099 m (3,606 ft)",80 km/h (50 mph),0,1:30,,,24.9 m (82 ft),,,,310
Banshee,Kings Island,"April 18, 2014",Steel – Inverted,Bolliger & Mabillard,167 ft (51 m),"4,124 ft (1,257 m)",68 mph (109 km/h),7,2:40,"1,650 riders per hour","US$24,000,000",150 ft (46 m),,,,60
Baron 1898,Efteling,"July 1, 2015[1]",Steel – Dive Coaster,Bolliger & Mabillard,30 m (98 ft),"501 m (1,644 ft)",90 km/h (56 mph),2,130 seconds[3],1000 riders per hour,€ 18 million[2],37.5 m (123 ft),87°,,,160
Batman: Arkham Asylum,Parque Warner Madrid,6 April 2002; 19 years ago,Steel – Inverted,Bolliger & Mabillard,105 ft (32 m),,49.7 mph (80.0 km/h),5,1:15,,,,,4.9,,298
Batman: The Dark Knight,Six Flags New England,"April 20, 2002[1]",Steel – Floorless Coaster,Bolliger & Mabillard,117.8 ft (35.9 m),"2,850 ft (870 m)",55 mph (89 km/h),5[1],2:20,,"$9,500,000[2]",,,,,43
Batman: The Ride,Six Flags Mexico,"April 14, 2000",Steel – Inverted,Vekoma,109.3 ft (33.3 m),"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),5,1:36,"1,040 riders per hour",,,,,,47
Batwing,Six Flags America,"June 16, 2001",Steel – Flying,Vekoma,115 ft (35 m),"3,340 ft (1,020 m)",50 mph (80 km/h),5,2:02,850 riders per hour,,103 ft (31 m),33°,4.3,,42
Behemoth,Canada's Wonderland,4 May 2008,Steel,Bolliger & Mabillard,70 m (230 ft),"1,620.9 m (5,318 ft)",124 km/h (77 mph),0,3:10,1545 riders per hour,C$26 million est.,69 m (226 ft),75°,4.5,,58
Big Dipper,Blackpool Pleasure Beach,23 August 1923,Wood – Out and back,William Strickler,65 ft (20 m),"3,300 ft (1,000 m)",40 mph (64 km/h),0,2:28,,"£25,000 (1922)",50 ft (15 m),46°,3.7,,273
Bizarro,Six Flags Great Adventure,"April 2, 1999May 23, 2009Re-theming",Steel,Bolliger & Mabillard,142 ft (43 m),"3,985 ft (1,215 m)",61 mph (98 km/h),7,2:20,1350 riders per hour,"USD15,000,000",132 ft (40 m),,4,,37
Black Diamond,Knoebels Amusement Resort,"October 8, 2011[1]",Steel – Family – Enclosed,Philadelphia Toboggan Coasters,35 ft (11 m),,,0,,,$2.25 million,,,,,314
Black Mamba,Phantasialand,"May 24, 2006",Steel – Inverted,Bolliger & Mabillard,85.3 ft (26.0 m),"2,519 ft (768 m)",49.7 mph (80.0 km/h),4,,1500 riders per hour,,,,4G,,56
Blue Fire Megacoaster,Europa-Park,"April 4, 2009",Steel – Launched,Mack Rides,124 ft (38 m),"3,464.6 ft (1,056.0 m)",62 mph (100 km/h),4,2:20 [1],"1,450 [1] riders per hour",,,,3.8,,51
Blue Flyer,Blackpool Pleasure Beach,1934,,,15 ft (4.6 m),,,0,1:00,,,,,,,273
Blue Streak,Cedar Point,"May 23, 1964",Wood,Philadelphia Toboggan Coasters,78 ft (24 m),"2,558 ft (780 m)",40 mph (64 km/h),0,1:45,"1,400 riders per hour","$200,000",72 ft (22 m),45°,,,50
Blue Tornado,Gardaland,1998,Steel – Inverted,Vekoma,108.27 ft (33.00 m),"2,509 ft (765 m)",49.7 mph (80.0 km/h),5,1 min 42 sec,1500 riders per hour,,98.43 ft (30.00 m),59°,4.5,,12
Boomerang,Worlds of Fun,"April 8, 2000",Steel – Boomerang – Shuttle,Vekoma,116 ft (35 m),935 ft (285 m),47 mph (76 km/h),"6 (3 forward, 3 backward)",1 min 48 sec,750 riders per hour,,,45°,,,63
Boomerang,Six Flags México,1984,Steel – Boomerang,Vekoma,116.5 ft (35.5 m),935 ft (285 m),47 mph (76 km/h),3,1:48,760 riders per hour,,,65°,5.2,,47
Booster Bike,Toverland,"July 27, 2004",Steel – Motorbike – Launched,Vekoma,15 m (49 ft),"594 m (1,949 ft)",75 km/h (47 mph),0,1:08,,,,,2.5,,305
Boulder Dash,Lake Compounce,"May 21, 2000",Wood,Custom Coasters International,110 ft (34 m),"4,725 ft (1,440 m)",60 mph (97 km/h),,2:30,,"US$6,000,000",115 ft (35 m),59°,,,313
Candymonium,Hersheypark,"July 3, 2020",Steel,Bolliger & Mabillard,210 ft (64 m),"4,636 ft (1,413 m)",76 mph (122 km/h),0,2:26,,,,77.3°,,,15
Canyon Blaster,Six Flags Magic Mountain,"May 30, 1999",Steel,E&F Miler Industries,8 ft (2.4 m),,10 mph (16 km/h),0,0:52,200 riders per hour,,6 ft (1.8 m),,1,,32
Carolina Cyclone,Carowinds,"March 22, 1980",Steel,Arrow Dynamics,95 ft (29 m),"2,100 ft (640 m)",41 mph (66 km/h),4,1:30,"1,600 riders per hour","$2,000,000",65 ft (20 m),53°,3.5,,59
Carolina Goldrusher,Carowinds,"March 31, 1973",Steel,Arrow Dynamics,43 ft (13 m),"2,397 ft (731 m)",30 mph (48 km/h),0,2:17,"2,000 riders per hour",,34 ft (10 m),,2.4,,59
Catwoman's Whip,Six Flags New England,"May 5, 2000",Steel – Family,Zierer,26.25 ft (8.00 m),"1,181 ft (360 m)",22.4 mph (36.0 km/h),0,2:30,1250 riders per hour,,20 ft (6.1 m),,,,43
