Park_Number,Park_Name,Location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
23,Busch Gardens Williamsburg,United States,0,3157000,3094000,2900000,2800000,2744000,2854000,2726000,2699000,0,0,0,0,0,0,0,0
9,Parc Astérix,"Plailly, France",1800000,1620000,1800000,1820000,1663000,1595000,1723000,1620000,1800000,1850000,1850000,2000000,2174000,2326000,1163000,1300000,2632000
19,PortAventura Park,"Salou and Vila-seca, Spain",3500000,3700000,3300000,3000000,3050000,3522000,3540000,3400000,3500000,3600000,3600000,3650000,3650000,3750000,700000,2400000,3750000
58,Canada's Wonderland,"Vaughan, Ontario, Canada",3230000,3250000,3380000,3160000,3380000,3481000,3655000,3582000,3546000,3617000,3723000,3760000,3798000,3950000,0,587000,3768000
291,Futuroscope,France,1350000,1600000,1600000,1700000,1825000,1741000,1730000,1464000,1665000,1800000,1900000,2000000,1850000,1900000,900000,1100000,1920000
97,Adventure Island,United States,609000,615000,603000,600000,626000,644000,651000,638000,644000,663000,650000,631000,669000,656000,125000,593000,636000
5,Epcot,"Bay Lake, Florida, United States",10460000,10930000,10935000,10990000,10825000,10825000,11063000,11229000,11454000,11798000,11712000,12200000,12444000,12444000,4044000,7752000,10000000
15,Hersheypark,"Hershey, Pennsylvania, United States",2690000,2940000,2842000,2807000,2891000,2949000,3140000,3180000,3212000,3276000,3276000,3301000,3367000,3384000,1717000,3012000,3193000
4,Disneyland Park Paris,"Marne-la-Vallée, France",10600000,12000000,12688000,12740000,10500000,10990000,11200000,10430000,9940000,9790000,8400000,9660000,9843000,9745000,2620000,3500000,9930000
160,Efteling,"Kaatsheuvel, Netherlands",3200000,3200000,3200000,4000000,4000000,4125000,4200000,4150000,4400000,4680000,4764000,5180000,5400000,5260000,2900000,3300000,5430000
38,Six Flags Great America,"Gurnee, Illinois, United States",0,0,0,0,0,0,0,0,0,2793000,2950000,3107000,3107000,3169000,0,2675000,2535000
96,Water Country USA,United States,670000,773000,758000,700000,784000,723000,748000,726000,726000,726000,733000,711000,729000,736000,0,700000,707000
8,Animal Kingdom,"Bay Lake, Florida, United States",8910000,9490000,9540000,9590000,9686000,9783000,9998000,10198000,10402000,10922000,10844000,12500000,13750000,13888000,4166000,7194000,9027000
22,Seaworld San Antonio,United States,0,0,0,0,2600000,2600000,0,0,0,0,0,0,0,0,0,0,0
3,Chessington World of Adventures,"Chessington, United Kingdom",1010000,962000,1250000,1330000,1430000,1500000,1390000,1520000,1540000,1420000,1430000,1500000,1560000,1660000,510000,1450000,1500000
52,Legoland Billund,"Billund, Denmark",1460000,1610000,1650000,1650000,1650000,1600000,1650000,1800000,1925000,2050000,2091000,2200000,1850000,1950000,700000,850000,2242000
274,Tokyo Disneyland,Japan,12900000,13906000,14293000,13646000,14452000,13683000,14847000,17214000,17300000,16600000,16540000,16600000,17907000,17910000,4160000,6300000,12000000
25,Heide Park,"Soltau, Germany",0,1400000,1330000,1400000,1350000,1400000,1300000,1400000,1475000,1525000,1540000,1480000,1660000,1700000,950000,1300000,1600000
64,Islands Of Adventure At Universal Orlando,"Orlando, Florida, United States",5300000,5430000,5297000,4627000,5949000,7674000,7981000,8141000,8141000,8792000,9362000,9549000,9788000,10375000,4005000,9077000,11025000
278,Legoland Deutschland,"Günzburg, Germany",0,0,0,0,0,0,0,0,0,0,0,2150000,1650000,1700000,750000,900000,1700000
296,"Six Flags Hurricane Harbor, SplashTown",United States,0,0,0,0,0,0,0,0,497000,501000,501000,476000,475000,475000,0,333000,343000
